time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56877.3081,UVW1,,,0.065,,16.956,Vega,Swift,4,,MJD,
56877.3094,U,,,0.054,,15.434,Vega,Swift,4,,MJD,
56877.3102,B,,,0.055,,16.084,Vega,Swift,4,,MJD,
56877.3124,UVW2,,,0.082,,18.189,Vega,Swift,4,,MJD,
56877.3146,V,,,0.060,,16.132,Vega,Swift,4,,MJD,
56877.3178,UVM2,,,0.076,,18.489,Vega,Swift,4,,MJD,
56881.4729,UVW1,,,0.075,,17.358,Vega,Swift,4,,MJD,
56881.4745,U,,,0.062,,15.804,Vega,Swift,4,,MJD,
56881.4754,B,,,0.057,,16.059,Vega,Swift,4,,MJD,
56881.4779,UVW2,,,0.102,,18.645,Vega,Swift,4,,MJD,
56881.4804,V,,,0.064,,16.038,Vega,Swift,4,,MJD,
56881.4840,UVM2,,,0.103,,18.845,Vega,Swift,4,,MJD,
56884.4634,UVW1,,,0.080,,17.778,Vega,Swift,4,,MJD,
56884.4645,U,,,0.065,,16.345,Vega,Swift,4,,MJD,
56884.4650,B,,,0.058,,16.320,Vega,Swift,4,,MJD,
56884.4663,UVW2,,,0.105,,18.886,Vega,Swift,4,,MJD,
56884.4679,V,,,0.063,,16.122,Vega,Swift,4,,MJD,
56884.4699,UVM2,,,0.111,,19.236,Vega,Swift,4,,MJD,
56887.9256,UVW1,,,0.098,,18.210,Vega,Swift,4,,MJD,
56887.9273,U,,,0.074,,16.850,Vega,Swift,4,,MJD,
56887.9280,B,,,0.061,,16.657,Vega,Swift,4,,MJD,
56887.9293,UVW2,,,0.135,,19.336,Vega,Swift,4,,MJD,
56887.9320,V,,,0.072,,16.459,Vega,Swift,4,,MJD,
56887.9339,UVM2,,,0.131,,19.428,Vega,Swift,4,,MJD,
56890.7618,UVW1,,,0.134,,18.642,Vega,Swift,4,,MJD,
56890.7634,U,,,0.091,,17.276,Vega,Swift,4,,MJD,
56890.7642,B,,,0.070,,17.022,Vega,Swift,4,,MJD,
56890.7666,UVW2,,,0.198,,19.831,Vega,Swift,4,,MJD,
56890.7690,V,,,0.082,,16.562,Vega,Swift,4,,MJD,
56890.7726,UVM2,,,0.178,,19.728,Vega,Swift,4,,MJD,
56892.9266,UVW1,,,0.122,,18.772,Vega,Swift,4,,MJD,
56892.9284,U,,,0.091,,17.651,Vega,Swift,4,,MJD,
56892.9291,B,,,0.069,,17.312,Vega,Swift,4,,MJD,
56892.9307,UVW2,,,0.179,,19.921,Vega,Swift,4,,MJD,
56892.9335,V,,,0.076,,16.671,Vega,Swift,4,,MJD,
56892.9358,UVM2,,,0.250,,20.537,Vega,Swift,4,,MJD,
56896.8603,UVW1,,,0.193,,19.611,Vega,Swift,4,,MJD,
56896.8620,U,,,0.118,,18.266,Vega,Swift,4,,MJD,
56896.8628,B,,,0.086,,18.028,Vega,Swift,4,,MJD,
56896.8649,UVW2,,,0.223,,20.304,Vega,Swift,4,,MJD,
56896.8674,V,,,0.082,,16.904,Vega,Swift,4,,MJD,
56896.8707,UVM2,,,,,21.087,Vega,Swift,4,,MJD,True
56899.4581,UVW1,,,0.211,,19.732,Vega,Swift,4,,MJD,
56899.4597,U,,,0.159,,18.778,Vega,Swift,4,,MJD,
56899.4605,B,,,0.100,,18.346,Vega,Swift,4,,MJD,
56899.4627,UVW2,,,0.330,,20.852,Vega,Swift,4,,MJD,
56899.4650,V,,,0.103,,17.400,Vega,Swift,4,,MJD,
56899.4684,UVM2,,,,,21.052,Vega,Swift,4,,MJD,True
