time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57131.5,,,,,,16.7,,,"2,7",,MJD,
57135.3978575962,w,,,0.00985291,,17.1457,,Pan-STARRS1,"2,5",,MJD,
57135.4103727415,w,,,0.0099084,,17.1468,,Pan-STARRS1,"2,5",,MJD,
57135.4228394657,w,,,0.00925803,,17.1544,,Pan-STARRS1,"2,5",,MJD,
57135.4353233335,w,,,0.00916532,,17.1475,,Pan-STARRS1,"2,5",,MJD,
57136.4833170209,w,,,0.00849169,,17.206,,Pan-STARRS1,"2,5",,MJD,
57136.4954673159,w,,,0.00971019,,17.1779,,Pan-STARRS1,"2,5",,MJD,
57136.5075726951,w,,,0.00871501,,17.2105,,Pan-STARRS1,"2,5",,MJD,
57136.5196805149,w,,,0.0126617,,17.1937,,Pan-STARRS1,"2,5",,MJD,
57137.4624389984,w,,,0.00744014,,17.2602,,Pan-STARRS1,"2,5",,MJD,
57137.4866763628,w,,,0.00649722,,17.2512,,Pan-STARRS1,"2,5",,MJD,
57137.4992425746,w,,,0.00693781,,17.2502,,Pan-STARRS1,"2,5",,MJD,
57164.3823436677,w,,,0.0202227,,18.5917,,Pan-STARRS1,"2,5",,MJD,
57164.395628401,w,,,0.0151424,,18.5891,,Pan-STARRS1,"2,5",,MJD,
57164.4088752488,w,,,0.0170986,,18.5962,,Pan-STARRS1,"2,5",,MJD,
57164.4220853979,w,,,0.0389311,,18.5549,,Pan-STARRS1,"2,5",,MJD,
57165.360561979,i,,,0.0299119,,18.4652,,Pan-STARRS1,"2,5",,MJD,
57166.361842899,i,,,0.0320361,,18.5449,,Pan-STARRS1,"2,5",,MJD,
57166.3748407556,i,,,0.0237468,,18.514,,Pan-STARRS1,"2,5",,MJD,
57166.3878011126,i,,,0.0241786,,18.5578,,Pan-STARRS1,"2,5",,MJD,
57166.400832382,i,,,0.0243244,,18.5107,,Pan-STARRS1,"2,5",,MJD,
57183.3155218312,w,,,0.0657744,,19.2766,,Pan-STARRS1,"2,5",,MJD,
57183.3293125945,w,,,0.0653505,,19.33,,Pan-STARRS1,"2,5",,MJD,
57183.3430944794,w,,,0.0653026,,19.3094,,Pan-STARRS1,"2,5",,MJD,
57183.3569016699,w,,,0.0673446,,19.2737,,Pan-STARRS1,"2,5",,MJD,
57186.3156611576,w,,,0.0459269,,19.4598,,Pan-STARRS1,"2,5",,MJD,
57186.3288838445,w,,,0.171771,,19.5524,,Pan-STARRS1,"2,5",,MJD,
57186.3649110296,w,,,0.177082,,19.5547,,Pan-STARRS1,"2,5",,MJD,
