time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57187.293,g,,,,,16.30749,,PS1,1,,MJD,
57187.293,i,,,,,16.86920,,PS1,1,,MJD,
57187.293,r,,,,,16.42643,,PS1,1,,MJD,
57187.293,z,,,,,17.04489,,PS1,1,,MJD,
57192.277,g,,,,,16.37388,,PS1,1,,MJD,
57192.277,i,,,,,16.90532,,PS1,1,,MJD,
57192.277,r,,,,,16.31581,,PS1,1,,MJD,
57192.277,z,,,,,17.10131,,PS1,1,,MJD,
57197.266,g,,,,,16.53750,,PS1,1,,MJD,
57197.266,i,,,,,17.03204,,PS1,1,,MJD,
57197.266,r,,,,,16.46257,,PS1,1,,MJD,
57197.266,z,,,,,17.14732,,PS1,1,,MJD,
57202.273,g,,,,,16.94614,,PS1,1,,MJD,
57202.273,r,,,,,16.79520,,PS1,1,,MJD,
57202.277,i,,,,,17.37434,,PS1,1,,MJD,
57202.277,z,,,,,17.49340,,PS1,1,,MJD,
57207.277,g,,,,,17.5316,,PS1,1,,MJD,
57207.277,i,,,,,17.45408,,PS1,1,,MJD,
57207.277,r,,,,,16.94770,,PS1,1,,MJD,
57207.277,z,,,,,17.46454,,PS1,1,,MJD,
57207.332,r,,,,,16.88468,,PS1,1,,MJD,
57207.3336387007,r,,,0.0132126,,16.8066,,Pan-STARRS1,"3,6",,MJD,
57207.344,r,,,,,16.82540,,PS1,1,,MJD,
57207.3445716687,r,,,0.0126245,,16.7407,,Pan-STARRS1,"3,6",,MJD,
57207.355,r,,,,,16.85143,,PS1,1,,MJD,
57207.35556343,r,,,0.01496,,16.79,,Pan-STARRS1,"3,6",,MJD,
57215.273,g,,,,,18.3256,,PS1,1,,MJD,
57215.273,i,,,,,17.23981,,PS1,1,,MJD,
57215.273,r,,,,,17.08934,,PS1,1,,MJD,
57215.273,z,,,,,17.41423,,PS1,1,,MJD,
57416.63889691,r,,,0.134532,,19.3476,,Pan-STARRS1,"3,6",,MJD,
58184.5416624685,i,,,0.054853,,18.5409,,Pan-STARRS1,"3,6",,MJD,
58184.5545274136,i,,,0.0502961,,18.7084,,Pan-STARRS1,"3,6",,MJD,
58184.567246005,i,,,0.071868,,19.0325,,Pan-STARRS1,"3,6",,MJD,
