time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57195.332,i,,,,,21.762,,PS1,1,,MJD,
57195.348,i,,,,,21.794,,PS1,1,,MJD,True
57195.359,i,,,,,21.458,,PS1,1,,MJD,True
57212.273,g,,,,,16.26772,,PS1,1,,MJD,
57212.273,i,,,,,16.98956,,PS1,1,,MJD,
57212.273,r,,,,,16.28843,,PS1,1,,MJD,
57217.289,g,,,,,16.39808,,PS1,1,,MJD,
57217.289,i,,,,,17.03600,,PS1,1,,MJD,
57217.289,r,,,,,16.37142,,PS1,1,,MJD,
57222.266,g,,,,,16.73485,,PS1,1,,MJD,
57222.266,r,,,,,16.72130,,PS1,1,,MJD,
57222.270,i,,,,,17.5352,,PS1,1,,MJD,
57233.266,g,,,,,17.7404,,PS1,1,,MJD,
57233.266,i,,,,,17.42674,,PS1,1,,MJD,
57233.266,r,,,,,17.06289,,PS1,1,,MJD,
57233.266,z,,,,,17.30350,,PS1,1,,MJD,
57243.262,g,,,,,18.8679,,PS1,1,,MJD,
57243.262,i,,,,,17.7984,,PS1,1,,MJD,
57243.262,r,,,,,17.6971,,PS1,1,,MJD,
57243.262,z,,,,,17.6994,,PS1,1,,MJD,
57262.246,g,,,,,19.0761,,PS1,1,,MJD,
57262.246,i,,,,,18.8673,,PS1,1,,MJD,
57262.246,r,,,,,18.5852,,PS1,1,,MJD,
57262.246,z,,,,,19.1352,,PS1,1,,MJD,
57268.238,z,,,,,19.2701,,PS1,1,,MJD,
57462.555,g,,,,,21.246,,PS1,1,,MJD,True
57462.555,i,,,,,21.193,,PS1,1,,MJD,True
57462.555,r,,,,,21.38,,PS1,1,,MJD,True
57462.555,z,,,,,20.750,,PS1,1,,MJD,True
