time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58451.5429977,G,,,,,21.5,,Gaia,4,,MJD,True
58476.15,g,,,,,17.2,,ASASSN-2,4,,MJD,True
58480.16,g,,,,,17.8,,ASASSN-2,4,,MJD,
58486.0839931,G,,,0.2,,17.87,,Gaia,4,,MJD,
58486.085,G,,,0.0,,17.87,,GAIA,2,,MJD,
58486.261,G,,,0.0,,17.84,,GAIA,2,,MJD,
58504.834,G,,,0.0,,18.78,,GAIA,2,,MJD,
58546.699,G,,,0.0,,20.16,,GAIA,2,,MJD,
58546.773,G,,,0.0,,20.19,,GAIA,2,,MJD,
58558.704,G,,,0.0,,20.40,,GAIA,2,,MJD,
