time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58645.9439931,G,,,,,21.5,,Gaia,5,,MJD,True
58646.0179977,G,,,0.2,,20.34,,Gaia,5,,MJD,
58646.019,G,,,0.0,,20.34,,GAIA,3,,MJD,
58657.13,g,,,,,17.9,,ASASSN-2,5,,MJD,True
58662.1,g,,,,,17.8,,ASASSN-3,5,,MJD,
58677.430,G,,,0.0,,18.70,,GAIA,3,,MJD,
58677.504,G,,,0.0,,18.72,,GAIA,3,,MJD,
58682.325,G,,,0.0,,18.89,,GAIA,3,,MJD,
58708.536,G,,,0.0,,20.12,,GAIA,3,,MJD,
58708.610,G,,,0.0,,20.23,,GAIA,3,,MJD,
