time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57497.2840278,C,,,0.344931050083,,20.3863,,Catalina Schmidt,2,,MJD,
57702.1169907,G,,,,,21.5,,Gaia,3,,MJD,True
57706.1419907,orange,,,,,18.67,,ATLAS1,3,,MJD,True
57710.1059954,orange,,,0.17,,18.52,,ATLAS1,3,,MJD,
57728.5,C,,,0.0718526220835,,17.6505,,Catalina Schmidt,2,,MJD,
57728.5,C,,,0.0678788940885,,17.7115,,Catalina Schmidt,2,,MJD,
57728.5,C,,,0.0734462282016,,17.7314,,Catalina Schmidt,2,,MJD,
57728.5,C,,,0.0705987787525,,17.7409,,Catalina Schmidt,2,,MJD,
57739.2619907,G,,,0.2,,17.73,,Gaia,3,,MJD,
57739.263,G,,,0.0,,17.78,,GAIA,5,,MJD,
57739.337,G,,,0.0,,17.78,,GAIA,5,,MJD,
57744.1019907,i,,,0.02,,17.75,,PS1,3,,MJD,
57744.602104365,i,,,0.0189149,,17.7492,,Pan-STARRS1,6,,MJD,
57744.614064091,i,,,0.0129909,,17.7273,,Pan-STARRS1,6,,MJD,
57744.6260638828,i,,,0.012646,,17.7393,,Pan-STARRS1,6,,MJD,
57744.6380511262,i,,,0.0118401,,17.739,,Pan-STARRS1,6,,MJD,
57749.018,G,,,0.0,,17.87,,GAIA,5,,MJD,
57749.092,G,,,0.0,,17.84,,GAIA,5,,MJD,
57774.81512565972,r,,,0.0353088,,18.0099,,,4,,MJD,
57781.5,C,,,0.0681228853146,,18.057,,Catalina Schmidt,2,,MJD,
57781.5,C,,,0.0684100781639,,18.0661,,Catalina Schmidt,2,,MJD,
57781.5,C,,,0.0693038253661,,18.1154,,Catalina Schmidt,2,,MJD,
57781.5,C,,,0.0692260649292,,18.134,,Catalina Schmidt,2,,MJD,
57792.5,C,,,0.0696933225044,,18.1299,,Catalina Schmidt,2,,MJD,
57792.5,C,,,0.0705859688448,,18.1871,,Catalina Schmidt,2,,MJD,
57792.5,C,,,0.070852253124,,18.1905,,Catalina Schmidt,2,,MJD,
57792.5,C,,,0.0709680138387,,18.214,,Catalina Schmidt,2,,MJD,
57805.5,C,,,0.074001907031,,18.4179,,Catalina Schmidt,2,,MJD,
57805.5,C,,,0.0741393661557,,18.4245,,Catalina Schmidt,2,,MJD,
57805.5,C,,,0.0747775737423,,18.4691,,Catalina Schmidt,2,,MJD,
57805.5,C,,,0.0749053013787,,18.4752,,Catalina Schmidt,2,,MJD,
57835.5,C,,,0.085334073828,,18.9811,,Catalina Schmidt,2,,MJD,
57835.5,C,,,0.0857439507638,,18.9895,,Catalina Schmidt,2,,MJD,
57835.5,C,,,0.0868926794355,,19.0324,,Catalina Schmidt,2,,MJD,
57835.5,C,,,0.0877572355187,,19.0933,,Catalina Schmidt,2,,MJD,
57842.920,G,,,0.0,,19.12,,GAIA,5,,MJD,
57842.994,G,,,0.0,,19.11,,GAIA,5,,MJD,
57846.5,C,,,0.079590349146,,18.6771,,Catalina Schmidt,2,,MJD,
57846.5,C,,,0.0844604249007,,18.9204,,Catalina Schmidt,2,,MJD,
57846.5,C,,,0.0858656284102,,18.9802,,Catalina Schmidt,2,,MJD,
57846.5,C,,,0.0875402634036,,19.0439,,Catalina Schmidt,2,,MJD,
57860.995,G,,,0.0,,19.11,,GAIA,5,,MJD,
57894.647,G,,,0.0,,19.23,,GAIA,5,,MJD,
57894.721,G,,,0.0,,19.28,,GAIA,5,,MJD,
57918.5,C,,,0.106376342044,,19.6679,,Catalina Schmidt,2,,MJD,
57918.5,C,,,0.108945752478,,19.7336,,Catalina Schmidt,2,,MJD,
57918.5,C,,,0.115845289223,,19.9017,,Catalina Schmidt,2,,MJD,
57918.5,C,,,0.118075828218,,19.9488,,Catalina Schmidt,2,,MJD,
58037.5,C,,,0.126597576662,,20.4355,,Catalina Schmidt,2,,MJD,
58037.5,C,,,0.163223766365,,21.0355,,Catalina Schmidt,2,,MJD,
58037.5,C,,,0.174422591155,,21.1853,,Catalina Schmidt,2,,MJD,
58037.5,C,,,0.178832601727,,21.2465,,Catalina Schmidt,2,,MJD,
58069.5,C,,,0.263783160789,,22.0447,,Catalina Schmidt,2,,MJD,
58116.5,C,,,0.147702416555,,20.8601,,Catalina Schmidt,2,,MJD,
58116.5,C,,,0.15712851623,,20.9981,,Catalina Schmidt,2,,MJD,
58116.5,C,,,0.161430376518,,21.0616,,Catalina Schmidt,2,,MJD,
58116.5,C,,,0.2857576587,,22.2143,,Catalina Schmidt,2,,MJD,
58127.5117258494,i,,,0.223968,,21.157,,Pan-STARRS1,6,,MJD,
58127.5224402701,i,,,0.268017,,21.2116,,Pan-STARRS1,6,,MJD,
58127.5332028883,i,,,0.193134,,21.0312,,Pan-STARRS1,6,,MJD,
58127.5439453921,i,,,0.276031,,21.1117,,Pan-STARRS1,6,,MJD,
58138.5,C,,,0.147548491017,,20.8129,,Catalina Schmidt,2,,MJD,
58138.5,C,,,0.165739840252,,21.0741,,Catalina Schmidt,2,,MJD,
58138.5,C,,,0.176126565608,,21.2119,,Catalina Schmidt,2,,MJD,
58138.5,C,,,0.190198399311,,21.3725,,Catalina Schmidt,2,,MJD,
58145.5,C,,,0.176244802768,,20.8792,,Catalina Schmidt,2,,MJD,
58153.4795190793,i,,,0.317714,,20.9595,,Pan-STARRS1,6,,MJD,
58158.5,C,,,0.159402681538,,20.9393,,Catalina Schmidt,2,,MJD,
58158.5,C,,,0.166093094158,,21.0192,,Catalina Schmidt,2,,MJD,
58158.5,C,,,0.176919901336,,21.1604,,Catalina Schmidt,2,,MJD,
58158.5,C,,,0.18864400835,,21.2964,,Catalina Schmidt,2,,MJD,
58216.5,C,,,0.176561414003,,21.1891,,Catalina Schmidt,2,,MJD,
58244.5,C,,,0.204300948778,,21.4052,,Catalina Schmidt,2,,MJD,
58419.5,C,,,0.211904995261,,21.5258,,Catalina Schmidt,2,,MJD,
58468.5,C,,,0.249312011086,,21.749,,Catalina Schmidt,2,,MJD,
58489.5529589109,w,,,0.337733,,21.9019,,Pan-STARRS1,6,,MJD,
58546.5,C,,,0.231023748176,,21.605,,Catalina Schmidt,2,,MJD,
