time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57800.6619907,orange,,,,,18.47,,ATLAS1,2,,MJD,True
57804.61,cyan,,,0.1,,18.23,,ATLAS1,2,,MJD,
57806.58,w,,,0.02,,18.59,,PS1,2,,MJD,
57806.5801923071,w,,,0.020047,,18.5873,,Pan-STARRS1,3,,MJD,
57806.5914028255,w,,,0.0295282,,18.5986,,Pan-STARRS1,3,,MJD,
57806.6019284524,w,,,0.0195236,,18.5947,,Pan-STARRS1,3,,MJD,
57806.6124742487,w,,,0.0294211,,18.6242,,Pan-STARRS1,3,,MJD,
57845.4703817223,w,,,0.151002,,20.381,,Pan-STARRS1,3,,MJD,
57845.4804370967,w,,,0.182745,,20.4243,,Pan-STARRS1,3,,MJD,
57845.4904682702,w,,,0.169224,,20.3304,,Pan-STARRS1,3,,MJD,
57845.5005090028,w,,,0.169253,,20.4057,,Pan-STARRS1,3,,MJD,
57869.3674042298,w,,,0.171102,,21.1121,,Pan-STARRS1,3,,MJD,
57869.3780617056,w,,,0.153065,,21.2441,,Pan-STARRS1,3,,MJD,
57869.3887296974,w,,,0.119473,,21.0744,,Pan-STARRS1,3,,MJD,
57869.3994105971,w,,,0.0861041,,21.0494,,Pan-STARRS1,3,,MJD,
57890.2932647629,w,,,0.216849,,21.5583,,Pan-STARRS1,3,,MJD,
