time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57809.0919907,G,,,,,21.5,,Gaia,2,,MJD,True
57822.5969907,orange,,,,,18.61,,ATLAS1,2,,MJD,True
57834.4939931,cyan,,,0.12,,18.19,,ATLAS1,2,,MJD,
57839.69069523148,r,,,0.0897126,,18.4043,,,3,,MJD,
57853.7019907,G,,,0.2,,18.74,,Gaia,2,,MJD,
57853.703,G,,,0.0,,18.81,,GAIA,4,,MJD,
57853.777,G,,,0.0,,18.80,,GAIA,4,,MJD,
57855.4795527938,i,,,0.0700798,,19.2651,,Pan-STARRS1,5,,MJD,
57855.48,i,,,0.07,,19.27,,PS1,2,,MJD,
57855.4922715658,i,,,0.0671998,,19.2187,,Pan-STARRS1,5,,MJD,
57855.5049977318,i,,,0.0753477,,19.2391,,Pan-STARRS1,5,,MJD,
57855.5177191901,i,,,0.0516413,,19.215,,Pan-STARRS1,5,,MJD,
57906.729,G,,,0.0,,20.72,,GAIA,4,,MJD,
