time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57451.4519907,cyan,,,,,19.76,,ATLAS1,2,,MJD,True
57755.2689931,G,,,,,21.5,,Gaia,2,,MJD,True
57833.4639931,cyan,,,0.17,,18.8,,ATLAS1,2,,MJD,
57850.425,G,,,0.2,,18.14,,Gaia,2,,MJD,
57850.426,G,,,0.0,,18.21,,GAIA,3,,MJD,
57850.500,G,,,0.0,,18.22,,GAIA,3,,MJD,
57850.676,G,,,0.0,,18.22,,GAIA,3,,MJD,
57850.750,G,,,0.0,,18.17,,GAIA,3,,MJD,
57851.001,G,,,0.0,,18.26,,GAIA,3,,MJD,
57854.4329112027,i,,,0.183294,,18.8991,,Pan-STARRS1,4,,MJD,
57854.4329977,i,,,0.18,,18.9,,PS1,2,,MJD,
57854.4442820475,i,,,0.156913,,18.8167,,Pan-STARRS1,4,,MJD,
57854.4556932379,i,,,0.125404,,18.8395,,Pan-STARRS1,4,,MJD,
57856.429,G,,,0.0,,18.61,,GAIA,3,,MJD,
57856.503,G,,,0.0,,18.64,,GAIA,3,,MJD,
57856.680,G,,,0.0,,18.65,,GAIA,3,,MJD,
57856.754,G,,,0.0,,18.65,,GAIA,3,,MJD,
57883.3134105499,i,,,0.139184,,20.1333,,Pan-STARRS1,4,,MJD,
