time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57834.6039931,G,,,,,21.5,,Gaia,4,,MJD,True
57886.8409954,G,,,0.2,,16.75,,Gaia,4,,MJD,
57886.842,G,,,0.0,,16.80,,GAIA,3,,MJD,
57915.410,G,,,0.0,,18.19,,GAIA,3,,MJD,
57915.586,G,,,0.0,,18.19,,GAIA,3,,MJD,
57945.324,G,,,0.0,,19.14,,GAIA,3,,MJD,
57945.398,G,,,0.0,,19.13,,GAIA,3,,MJD,
57986.030,G,,,0.0,,20.12,,GAIA,3,,MJD,
57986.104,G,,,0.0,,20.08,,GAIA,3,,MJD,
57999.534,G,,,0.0,,20.41,,GAIA,3,,MJD,
57999.608,G,,,0.0,,20.37,,GAIA,3,,MJD,
