time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57164.2975,C,,,,,19.8,,,3,,MJD,True
57760.480706,C,,,0.3,,18.5,,,3,,MJD,
57819.4289931,i,,,0.16,,20.33,,PS1,3,,MJD,
57819.4294197824,i,,,0.164034,,20.3284,,Pan-STARRS1,4,,MJD,
57819.4294197824,i,,,0.175214,,20.3737,,Pan-STARRS1,4,,MJD,
57819.4418383207,i,,,0.14174,,20.3429,,Pan-STARRS1,4,,MJD,
57819.4418383207,i,,,0.147744,,20.3935,,Pan-STARRS1,4,,MJD,
57819.4542732369,i,,,0.190722,,20.3558,,Pan-STARRS1,4,,MJD,
57819.4542732369,i,,,0.195008,,20.4285,,Pan-STARRS1,4,,MJD,
57819.4667225462,i,,,0.151492,,20.4046,,Pan-STARRS1,4,,MJD,
57819.4667225462,i,,,0.157736,,20.4433,,Pan-STARRS1,4,,MJD,
57819.4724542997,i,,,0.148358,,20.1654,,Pan-STARRS1,4,,MJD,
57819.4724542997,i,,,0.151342,,20.217,,Pan-STARRS1,4,,MJD,
57819.4857593072,i,,,0.153823,,20.2547,,Pan-STARRS1,4,,MJD,
57819.4857593072,i,,,0.156229,,20.2883,,Pan-STARRS1,4,,MJD,
57819.4990653755,i,,,0.163786,,20.3236,,Pan-STARRS1,4,,MJD,
57819.4990653755,i,,,0.163982,,20.3861,,Pan-STARRS1,4,,MJD,
57819.5124217103,i,,,0.182929,,20.4741,,Pan-STARRS1,4,,MJD,
57819.5124217103,i,,,0.183129,,20.5143,,Pan-STARRS1,4,,MJD,
