time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57872.7979977,g-SM,,,,,19.72,,SkyMapper 1.35m,3,,MJD,True
57960.5759954,r-SM,,,,,19.9,,SkyMapper 1.35m,3,,MJD,
58008.385597804,i,,,0.143159,,19.9849,,Pan-STARRS1,4,,MJD,
58008.3859954,i,,,0.14,,19.98,,PS1,3,,MJD,
58008.3959092712,i,,,0.0908517,,20.0706,,Pan-STARRS1,4,,MJD,
58008.4062023843,i,,,0.17317,,20.0931,,Pan-STARRS1,4,,MJD,
58008.4165143181,i,,,0.127644,,20.1,,Pan-STARRS1,4,,MJD,
58036.3889233186,i,,,0.116742,,20.1847,,Pan-STARRS1,4,,MJD,
58036.3992125549,i,,,0.0929777,,20.1702,,Pan-STARRS1,4,,MJD,
58036.4095215244,i,,,0.138597,,20.1982,,Pan-STARRS1,4,,MJD,
58036.4198003515,i,,,0.142087,,20.15,,Pan-STARRS1,4,,MJD,
58063.245968118,i,,,0.152204,,20.5226,,Pan-STARRS1,4,,MJD,
58063.2566707333,i,,,0.116833,,20.4235,,Pan-STARRS1,4,,MJD,
58063.2672199886,i,,,0.120011,,20.5286,,Pan-STARRS1,4,,MJD,
58063.2777626059,i,,,0.11573,,20.4505,,Pan-STARRS1,4,,MJD,
