time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57951.0069907,G,,,,,21.5,,Gaia,3,,MJD,True
58067.3409954,orange,,,,,19.11,,ATLAS1,3,,MJD,True
58071.3019907,orange,,,0.135,,18.769,,ATLAS1,3,,MJD,
58081.015,G,,,0.2,,17.91,,Gaia,3,,MJD,
58081.016,G,,,0.0,,17.57,,GAIA,4,,MJD,
58081.090,G,,,0.0,,18.08,,GAIA,4,,MJD,
58114.987,G,,,0.0,,18.87,,GAIA,4,,MJD,
58115.061,G,,,0.0,,18.87,,GAIA,4,,MJD,
58129.739,G,,,0.0,,19.20,,GAIA,4,,MJD,
58129.813,G,,,0.0,,19.20,,GAIA,4,,MJD,
