time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54832.0,R,,,,,21.5,,P48,2,,MJD,True
57695.6159954,G,,,,,21.5,,Gaia,2,,MJD,True
57774.4479977,orange,,,,,19.49,,ATLAS1,2,,MJD,True
57778.4239931,cyan,,,0.16,,18.77,,ATLAS1,2,,MJD,
57789.3779977,I,,,,,17.9463,,P48,2,,MJD,
57792.4179977,G,,,0.2,,18.33,,Gaia,2,,MJD,
57792.419,G,,,0.0,,18.38,,GAIA,3,,MJD,
57792.669,G,,,0.0,,18.37,,GAIA,3,,MJD,
57792.976,G,,,0.0,,18.41,,GAIA,3,,MJD,
57793.050,G,,,0.0,,18.31,,GAIA,3,,MJD,
57793.301,G,,,0.0,,18.34,,GAIA,3,,MJD,
57793.551,G,,,0.0,,18.34,,GAIA,3,,MJD,
57793.801,G,,,0.0,,18.39,,GAIA,3,,MJD,
57794.551,G,,,0.0,,18.42,,GAIA,3,,MJD,
57794.801,G,,,0.0,,18.39,,GAIA,3,,MJD,
57794.978,G,,,0.0,,18.44,,GAIA,3,,MJD,
57795.052,G,,,0.0,,18.45,,GAIA,3,,MJD,
57795.228,G,,,0.0,,18.46,,GAIA,3,,MJD,
57795.478,G,,,0.0,,18.41,,GAIA,3,,MJD,
57795.552,G,,,0.0,,18.41,,GAIA,3,,MJD,
57795.728,G,,,0.0,,18.44,,GAIA,3,,MJD,
57795.802,G,,,0.0,,18.47,,GAIA,3,,MJD,
