time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58252.5069907,orange,,,,,18.9,,ATLAS1,2,,MJD,True
58253.3359954,cyan,,,0.164,,18.959,,ATLAS1,2,,MJD,
58257.3769907,w,,,0.05,,18.87,,PS1,2,,MJD,
58257.3774978495,w,,,0.0466366,,18.8658,,Pan-STARRS1,3,,MJD,
58257.3892865049,w,,,0.0396561,,18.8518,,Pan-STARRS1,3,,MJD,
58257.4010848063,w,,,0.0459694,,18.8969,,Pan-STARRS1,3,,MJD,
58257.412893219,w,,,0.0389808,,18.89,,Pan-STARRS1,3,,MJD,
58275.3243902755,w,,,0.0490532,,19.3534,,Pan-STARRS1,3,,MJD,
58275.3354776289,w,,,0.0378624,,19.3577,,Pan-STARRS1,3,,MJD,
58275.3465494635,w,,,0.0510038,,19.336,,Pan-STARRS1,3,,MJD,
58275.3575917609,w,,,0.0347437,,19.3733,,Pan-STARRS1,3,,MJD,
