time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58266.5701725275,z,,,0.354243,,19.9968,,Pan-STARRS1,3,,MJD,
58269.5279568924,i,,,0.0803387,,19.5775,,Pan-STARRS1,3,,MJD,
58269.5407762537,i,,,0.120584,,19.5273,,Pan-STARRS1,3,,MJD,
58269.5535556087,i,,,0.165225,,19.5942,,Pan-STARRS1,3,,MJD,
58269.5663092899,i,,,0.105188,,19.6531,,Pan-STARRS1,3,,MJD,
58270.4611262259,i,,,0.303281,,19.458,,Pan-STARRS1,3,,MJD,
58270.4872994292,i,,,0.246552,,19.5515,,Pan-STARRS1,3,,MJD,
58270.5004947651,i,,,0.228327,,19.8298,,Pan-STARRS1,3,,MJD,
58277.5615967563,i,,,0.0764392,,19.6147,,Pan-STARRS1,3,,MJD,
58277.5726270193,i,,,0.0802423,,19.6505,,Pan-STARRS1,3,,MJD,
58277.5832012457,i,,,0.08603,,19.5928,,Pan-STARRS1,3,,MJD,
58277.5938013979,i,,,0.0989246,,19.6442,,Pan-STARRS1,3,,MJD,
58291.4049251811,i,,,0.30748,,20.3176,,Pan-STARRS1,3,,MJD,
58291.4185738275,i,,,0.301355,,20.2907,,Pan-STARRS1,3,,MJD,
58291.4321891749,i,,,0.212383,,20.2228,,Pan-STARRS1,3,,MJD,
58298.5632241286,z,,,0.271064,,20.5722,,Pan-STARRS1,3,,MJD,
