time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58342.7629977,G,,,,,21.5,,Gaia,3,,MJD,True
58348.1939931,r,,,,,19.74,,P48,3,,MJD,True
58348.2869907,orange,,,,,19.24,,ATLAS1,3,,MJD,True
58360.2429977,orange,,,0.052,,17.661,,ATLAS1,3,,MJD,
58363.16,g,,,,,17.02,,P48,3,,MJD,
58373.125,r,,,,,16.69,,P48,3,,MJD,
58392.4979977,G,,,0.2,,17.83,,Gaia,3,,MJD,
58392.500,G,,,0.0,,17.84,,GAIA,4,,MJD,
58392.676,G,,,0.0,,17.80,,GAIA,4,,MJD,
58416.181,G,,,0.0,,18.88,,GAIA,4,,MJD,
58452.240,G,,,0.0,,19.73,,GAIA,4,,MJD,
