time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58463.4689931,orange,,,,,18.31,,ATLAS1,1,,MJD,True
58465.4509954,orange,,,0.096,,18.655,,ATLAS1,1,,MJD,
58468.4269907,i,,,0.05,,18.49,,PS1,1,,MJD,
58468.4272141337,i,,,0.046164,,18.4916,,Pan-STARRS1,2,,MJD,
58468.4375841791,i,,,0.0307084,,18.5144,,Pan-STARRS1,2,,MJD,
58468.4479511942,i,,,0.0249763,,18.5109,,Pan-STARRS1,2,,MJD,
58468.4583244896,i,,,0.0283377,,18.515,,Pan-STARRS1,2,,MJD,
58500.3325343318,i,,,0.111299,,20.3823,,Pan-STARRS1,2,,MJD,
58500.3439833699,i,,,0.148874,,20.498,,Pan-STARRS1,2,,MJD,
58500.3554438657,i,,,0.180915,,20.3502,,Pan-STARRS1,2,,MJD,
58500.3669061981,i,,,0.13158,,20.4271,,Pan-STARRS1,2,,MJD,
58504.3801016751,i,,,0.289872,,20.4951,,Pan-STARRS1,2,,MJD,
