time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58468.5549,r,,,,,19.56,,P48,1,,MJD,True
58468.5597801,r,,,0.1,,18.55,,P48,1,,MJD,
58468.5646065,r,,,0.08,,18.54,,P48,1,,MJD,
58468.5694444,r,,,0.1,,18.55,,P48,1,,MJD,
58471.5555671,r,,,0.08,,18.48,,P48,1,,MJD,
58471.5569792,r,,,0.09,,18.34,,P48,1,,MJD,
58471.5605208,r,,,0.08,,18.45,,P48,1,,MJD,
58471.5619444,r,,,0.08,,18.38,,P48,1,,MJD,
58471.5654745,r,,,0.08,,18.38,,P48,1,,MJD,
58471.5668866,r,,,0.08,,18.41,,P48,1,,MJD,
58471.5704282,r,,,0.09,,18.44,,P48,1,,MJD,
58472.5572569,r,,,0.09,,18.32,,P48,1,,MJD,
58472.5581944,r,,,0.09,,18.37,,P48,1,,MJD,
58472.5620602,r,,,0.1,,18.42,,P48,1,,MJD,
58472.5629977,r,,,0.11,,18.29,,P48,1,,MJD,
58472.566875,r,,,0.08,,18.29,,P48,1,,MJD,
58472.5678241,r,,,0.12,,18.41,,P48,1,,MJD,
58472.5713426,r,,,0.13,,18.4,,P48,1,,MJD,
58474.9269907,G,,,,,21.5,,Gaia,1,,MJD,True
58475.0009954,G,,,0.2,,18.1,,Gaia,1,,MJD,
58475.002,G,,,0.0,,18.12,,GAIA,2,,MJD,
58475.178,G,,,0.0,,18.45,,GAIA,2,,MJD,
58485.434,G,,,0.0,,18.93,,GAIA,2,,MJD,
58521.237,G,,,0.0,,20.51,,GAIA,2,,MJD,
