time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58476.3093634,r,,,0.11,,18.82,,P48,1,,MJD,
58476.4189931,orange,,,,,18.44,,ATLAS1,1,,MJD,True
58478.3939931,orange,,,0.175,,18.931,,ATLAS1,1,,MJD,
58481.2648611,g,,,0.08,,18.52,,P48,1,,MJD,
58483.3319907,w,,,0.03,,18.31,,PS1,1,,MJD,
58483.3323546248,w,,,0.0322109,,18.3059,,Pan-STARRS1,2,,MJD,
58483.345087536,w,,,0.0303568,,18.5677,,Pan-STARRS1,2,,MJD,
58483.357890171,w,,,0.0316825,,18.5664,,Pan-STARRS1,2,,MJD,
58483.3706343695,w,,,0.0339785,,18.5531,,Pan-STARRS1,2,,MJD,
58487.1973032,g,,,0.1,,18.72,,P48,1,,MJD,
58487.2636227,r,,,0.09,,18.64,,P48,1,,MJD,
58491.2295023,r,,,0.07,,18.68,,P48,1,,MJD,
