time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58507.5,,,,,,19.4,,,"2,3",,MJD,
58611.4946189042,w,,,0.0325404,,20.3196,,Pan-STARRS1,1,,MJD,
58611.506216309,w,,,0.0266965,,20.3335,,Pan-STARRS1,1,,MJD,
58611.5178130601,w,,,0.0304985,,20.3482,,Pan-STARRS1,1,,MJD,
58611.5294078561,w,,,0.0395057,,20.3455,,Pan-STARRS1,1,,MJD,
58614.3054724113,i,,,0.110871,,20.0536,,Pan-STARRS1,1,,MJD,
58614.3164520687,i,,,0.0728944,,20.154,,Pan-STARRS1,1,,MJD,
58614.3274288685,i,,,0.0702585,,20.1124,,Pan-STARRS1,1,,MJD,
58614.3384118617,i,,,0.0762937,,20.2433,,Pan-STARRS1,1,,MJD,
58669.3264600126,w,,,0.239942,,22.2071,,Pan-STARRS1,1,,MJD,
58669.3388153706,w,,,0.343378,,22.2547,,Pan-STARRS1,1,,MJD,
