time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58506.5770666874,i,,,0.0984641,,19.7225,,Pan-STARRS1,2,,MJD,
58506.5910864897,i,,,0.0928517,,19.6722,,Pan-STARRS1,2,,MJD,
58506.6051455111,i,,,0.0733829,,19.6008,,Pan-STARRS1,2,,MJD,
58506.6191781936,i,,,0.0625555,,19.6023,,Pan-STARRS1,2,,MJD,
58588.4032410058,i,,,0.332899,,20.1935,,Pan-STARRS1,2,,MJD,
58588.4090946367,i,,,0.282849,,20.0924,,Pan-STARRS1,2,,MJD,
58588.4149795771,i,,,0.27097,,20.1363,,Pan-STARRS1,2,,MJD,
58588.4209729118,i,,,0.315515,,20.0887,,Pan-STARRS1,2,,MJD,
58645.3106148971,i,,,0.25098,,21.3137,,Pan-STARRS1,2,,MJD,
58645.3174998589,i,,,0.179842,,21.2862,,Pan-STARRS1,2,,MJD,
58645.3250262347,i,,,0.202314,,21.4357,,Pan-STARRS1,2,,MJD,
