time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58486.483809453,w,,,0.0201215,,19.5448,,Pan-STARRS1,2,,MJD,
58486.4957383941,w,,,0.0286074,,19.602,,Pan-STARRS1,2,,MJD,
58486.5077644647,w,,,0.0272775,,19.5925,,Pan-STARRS1,2,,MJD,
58486.5198078547,w,,,0.0280208,,19.6424,,Pan-STARRS1,2,,MJD,
58498.4947080194,i,,,0.0332547,,19.4894,,Pan-STARRS1,2,,MJD,
58498.5023927447,i,,,0.0324283,,19.5335,,Pan-STARRS1,2,,MJD,
58498.5099886447,i,,,0.0302721,,19.5039,,Pan-STARRS1,2,,MJD,
58498.5177316134,i,,,0.0320546,,19.564,,Pan-STARRS1,2,,MJD,
58499.4534871662,i,,,0.075832,,19.485,,Pan-STARRS1,2,,MJD,
58510.485633004,i,,,0.269804,,20.2244,,Pan-STARRS1,2,,MJD,
58510.493165274,i,,,0.237941,,20.1886,,Pan-STARRS1,2,,MJD,
58510.500631914,i,,,0.227296,,20.1681,,Pan-STARRS1,2,,MJD,
58594.2520556989,i,,,0.175931,,19.8338,,Pan-STARRS1,2,,MJD,
58594.2608814555,i,,,0.0949547,,19.9642,,Pan-STARRS1,2,,MJD,
58594.2696280962,i,,,0.0846279,,20.0689,,Pan-STARRS1,2,,MJD,
58594.2786893984,i,,,0.0931275,,19.951,,Pan-STARRS1,2,,MJD,
58594.2821057165,i,,,0.089822,,19.8837,,Pan-STARRS1,2,,MJD,
58618.2709479149,i,,,0.107942,,20.0096,,Pan-STARRS1,2,,MJD,
58618.280814031,i,,,0.109258,,19.9444,,Pan-STARRS1,2,,MJD,
58618.294105934,i,,,0.123488,,19.9285,,Pan-STARRS1,2,,MJD,
58618.3023701945,i,,,0.13143,,19.9083,,Pan-STARRS1,2,,MJD,
58645.2562596402,z,,,0.192219,,20.6637,,Pan-STARRS1,2,,MJD,
