time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58567.5,,,,,,19.6,,,"2,3",,MJD,
58604.3263874893,w,,,0.0689083,,20.3563,,Pan-STARRS1,1,,MJD,
58604.3395937169,w,,,0.0687462,,20.4123,,Pan-STARRS1,1,,MJD,
58604.3528983165,w,,,0.0670384,,20.4122,,Pan-STARRS1,1,,MJD,
58604.3661776063,w,,,0.0608194,,20.4205,,Pan-STARRS1,1,,MJD,
58605.3073364272,w,,,0.0937311,,20.4954,,Pan-STARRS1,1,,MJD,
58605.3182709892,w,,,0.109738,,20.462,,Pan-STARRS1,1,,MJD,
58605.3292314439,w,,,0.147273,,20.6197,,Pan-STARRS1,1,,MJD,
58605.3401948698,w,,,0.114555,,20.6463,,Pan-STARRS1,1,,MJD,
58636.2718636762,w,,,0.199222,,21.689,,Pan-STARRS1,1,,MJD,
58636.2828814602,w,,,0.168661,,21.6635,,Pan-STARRS1,1,,MJD,
58636.293929974,w,,,0.187267,,21.7147,,Pan-STARRS1,1,,MJD,
58636.3050014181,w,,,0.228892,,21.7161,,Pan-STARRS1,1,,MJD,
