time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58573.5,,,,,,19.4,,,"2,3",,MJD,
58592.490087024,z,,,0.141949,,20.0206,,Pan-STARRS1,1,,MJD,
58592.5022979914,z,,,0.194799,,20.0594,,Pan-STARRS1,1,,MJD,
58592.5145920411,z,,,0.149059,,19.9759,,Pan-STARRS1,1,,MJD,
58592.5281276457,z,,,0.191723,,19.8712,,Pan-STARRS1,1,,MJD,
58593.525229212,z,,,0.181688,,19.9997,,Pan-STARRS1,1,,MJD,
58593.5427956581,z,,,0.30873,,19.9151,,Pan-STARRS1,1,,MJD,
58593.6319433038,z,,,0.282992,,19.964,,Pan-STARRS1,1,,MJD,
58593.6334537394,z,,,0.23709,,20.06,,Pan-STARRS1,1,,MJD,
58595.5661712667,i,,,0.141028,,19.8966,,Pan-STARRS1,1,,MJD,
58595.5743502574,i,,,0.0974331,,20.0609,,Pan-STARRS1,1,,MJD,
58595.5822701757,i,,,0.101984,,20.012,,Pan-STARRS1,1,,MJD,
58595.5901584215,i,,,0.0668456,,19.9766,,Pan-STARRS1,1,,MJD,
58595.6291596927,z,,,0.286304,,20.0098,,Pan-STARRS1,1,,MJD,
58596.6303922455,z,,,0.258171,,19.8726,,Pan-STARRS1,1,,MJD,
58598.6298333891,z,,,0.102232,,20.3023,,Pan-STARRS1,1,,MJD,
58598.6313432496,z,,,0.0990463,,20.3534,,Pan-STARRS1,1,,MJD,
58600.6263966855,z,,,0.352027,,20.2997,,Pan-STARRS1,1,,MJD,
58604.6287366813,z,,,0.14728,,20.1899,,Pan-STARRS1,1,,MJD,
58605.6247914078,z,,,0.205491,,20.3597,,Pan-STARRS1,1,,MJD,
58609.6014860995,z,,,0.232448,,20.3661,,Pan-STARRS1,1,,MJD,
58610.6236838335,z,,,0.0897842,,20.3529,,Pan-STARRS1,1,,MJD,
58613.6209839123,z,,,0.272527,,20.4789,,Pan-STARRS1,1,,MJD,
58614.6207083427,z,,,0.133107,,20.5402,,Pan-STARRS1,1,,MJD,
58615.619995793,z,,,0.172267,,20.5268,,Pan-STARRS1,1,,MJD,
58617.6188961328,z,,,0.198631,,20.465,,Pan-STARRS1,1,,MJD,
58617.6204092461,z,,,0.181962,,20.5723,,Pan-STARRS1,1,,MJD,
58622.6054192105,z,,,0.169354,,20.5268,,Pan-STARRS1,1,,MJD,
58629.4775285179,i,,,0.187665,,21.2045,,Pan-STARRS1,1,,MJD,
58629.484820636,i,,,0.132647,,20.8538,,Pan-STARRS1,1,,MJD,
58629.4920477885,i,,,0.107287,,20.9654,,Pan-STARRS1,1,,MJD,
58629.499250466,i,,,0.10009,,20.8144,,Pan-STARRS1,1,,MJD,
58644.4199296242,i,,,0.1792,,21.5133,,Pan-STARRS1,1,,MJD,
58644.4349837628,i,,,0.15464,,21.2005,,Pan-STARRS1,1,,MJD,
58644.4494624565,i,,,0.149954,,21.2374,,Pan-STARRS1,1,,MJD,
58644.4638469653,i,,,0.132189,,21.3467,,Pan-STARRS1,1,,MJD,
