time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58621.8309954,G,,,,,21.5,,Gaia,1,,MJD,True
58639.2220718,g,,,,,20.6038,,P48,1,,MJD,True
58645.2069329,g,,,0.18,,19.62,,P48,1,,MJD,
58648.1814236,g,,,0.11,,18.84,,P48,1,,MJD,
58650.9969907,G,,,0.2,,18.87,,Gaia,1,,MJD,
58650.998,G,,,0.0,,18.85,,GAIA,2,,MJD,
58651.072,G,,,0.0,,18.78,,GAIA,2,,MJD,
58681.053,G,,,0.0,,19.69,,GAIA,2,,MJD,
58681.127,G,,,0.0,,19.69,,GAIA,2,,MJD,
58681.303,G,,,0.0,,19.67,,GAIA,2,,MJD,
