time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58588.5,,,,,,20.0,,,"1,3",,MJD,
58589.5640028589,i,,,0.18086,,19.984,,Pan-STARRS1,2,,MJD,
58589.5640028589,i,,,0.156446,,20.0098,,Pan-STARRS1,2,,MJD,
58589.5734644895,i,,,0.135778,,20.0588,,Pan-STARRS1,2,,MJD,
58589.5734644895,i,,,0.11868,,20.1968,,Pan-STARRS1,2,,MJD,
58589.5828002653,i,,,0.144344,,19.8757,,Pan-STARRS1,2,,MJD,
58589.5828002653,i,,,0.136365,,19.9017,,Pan-STARRS1,2,,MJD,
58589.5923682065,i,,,0.151513,,20.0106,,Pan-STARRS1,2,,MJD,
58589.5923682065,i,,,0.141302,,20.108,,Pan-STARRS1,2,,MJD,
58596.6117512305,i,,,0.226379,,20.0545,,Pan-STARRS1,2,,MJD,
58596.6117512305,i,,,0.213185,,20.0593,,Pan-STARRS1,2,,MJD,
58630.5716348024,i,,,0.228908,,21.0029,,Pan-STARRS1,2,,MJD,
58630.5716348024,i,,,0.239919,,21.0175,,Pan-STARRS1,2,,MJD,
58630.5822896231,i,,,0.146414,,21.2365,,Pan-STARRS1,2,,MJD,
58630.5822896231,i,,,0.149901,,21.24,,Pan-STARRS1,2,,MJD,
58630.5929312183,i,,,0.201975,,21.2548,,Pan-STARRS1,2,,MJD,
58630.5929312183,i,,,0.199012,,21.2606,,Pan-STARRS1,2,,MJD,
58630.6035585501,i,,,0.142365,,21.1299,,Pan-STARRS1,2,,MJD,
58630.6035585501,i,,,0.196547,,21.3999,,Pan-STARRS1,2,,MJD,
58649.5431596502,i,,,0.20522,,21.1004,,Pan-STARRS1,2,,MJD,
58649.5431596502,i,,,0.239126,,21.1172,,Pan-STARRS1,2,,MJD,
58659.5711142445,i,,,0.204318,,21.2498,,Pan-STARRS1,2,,MJD,
58659.5711142445,i,,,0.207291,,21.2872,,Pan-STARRS1,2,,MJD,
58659.579771761,i,,,0.206967,,21.4654,,Pan-STARRS1,2,,MJD,
58659.579771761,i,,,0.207022,,21.478,,Pan-STARRS1,2,,MJD,
58659.5884390251,i,,,0.198726,,21.3081,,Pan-STARRS1,2,,MJD,
58659.5884390251,i,,,0.200624,,21.3286,,Pan-STARRS1,2,,MJD,
58659.5970905788,i,,,0.207979,,21.3652,,Pan-STARRS1,2,,MJD,
58659.5970905788,i,,,0.221887,,21.375,,Pan-STARRS1,2,,MJD,
