time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58637.4092101503,w,,,0.0386184,,20.0211,,Pan-STARRS1,2,,MJD,
58637.4229013552,w,,,0.0302919,,20.0408,,Pan-STARRS1,2,,MJD,
58637.4365408722,w,,,0.0267556,,20.0219,,Pan-STARRS1,2,,MJD,
58637.4501917061,w,,,0.0249641,,20.0137,,Pan-STARRS1,2,,MJD,
58660.3344878351,w,,,0.0911117,,20.1162,,Pan-STARRS1,2,,MJD,
58660.3481325871,w,,,0.201604,,19.7663,,Pan-STARRS1,2,,MJD,
58669.4684529599,w,,,0.03154,,20.3444,,Pan-STARRS1,2,,MJD,
58669.4799085497,w,,,0.0390281,,20.3402,,Pan-STARRS1,2,,MJD,
58669.4913615384,w,,,0.0391934,,20.3635,,Pan-STARRS1,2,,MJD,
58669.5028121088,w,,,0.0438182,,20.3902,,Pan-STARRS1,2,,MJD,
