time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58642.5,,,,,,22.2,,,"1,3",,MJD,
58643.5444798115,w,,,0.143525,,22.2247,,Pan-STARRS1,2,,MJD,
58643.5561515708,w,,,0.125807,,22.0578,,Pan-STARRS1,2,,MJD,
58643.5678337915,w,,,0.152557,,22.1367,,Pan-STARRS1,2,,MJD,
58643.579555661,w,,,0.163504,,22.2474,,Pan-STARRS1,2,,MJD,
58645.5304472322,w,,,0.260915,,22.2898,,Pan-STARRS1,2,,MJD,
58645.5434537696,w,,,0.246509,,22.0818,,Pan-STARRS1,2,,MJD,
58645.5564463356,w,,,0.253803,,22.2564,,Pan-STARRS1,2,,MJD,
58645.5694817822,w,,,0.202624,,22.3011,,Pan-STARRS1,2,,MJD,
58647.5452621863,w,,,0.20889,,21.9225,,Pan-STARRS1,2,,MJD,
58647.5572915023,w,,,0.322027,,21.7692,,Pan-STARRS1,2,,MJD,
58647.5693756896,w,,,0.305757,,21.9826,,Pan-STARRS1,2,,MJD,
58670.5076494136,w,,,0.213905,,22.6739,,Pan-STARRS1,2,,MJD,
58670.5194862586,w,,,0.1518,,22.5922,,Pan-STARRS1,2,,MJD,
58670.5313963317,w,,,0.152834,,22.477,,Pan-STARRS1,2,,MJD,
58670.5433216429,w,,,0.155044,,22.357,,Pan-STARRS1,2,,MJD,
