time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58581.5,,,,,,21.4,,,"1,3",,MJD,
58582.5409673228,w,,,0.182235,,21.3857,,Pan-STARRS1,2,,MJD,
58582.5646302779,w,,,0.195497,,21.5395,,Pan-STARRS1,2,,MJD,
58611.4946189042,w,,,0.123638,,21.9579,,Pan-STARRS1,2,,MJD,
58611.506216309,w,,,0.0736025,,21.5832,,Pan-STARRS1,2,,MJD,
58611.5178130601,w,,,0.0935196,,21.7422,,Pan-STARRS1,2,,MJD,
58611.5294078561,w,,,0.128873,,21.7518,,Pan-STARRS1,2,,MJD,
58614.3164520687,i,,,0.188751,,21.8823,,Pan-STARRS1,2,,MJD,
58614.3274288685,i,,,0.177352,,21.7339,,Pan-STARRS1,2,,MJD,
58614.3384118617,i,,,0.14966,,21.5401,,Pan-STARRS1,2,,MJD,
