time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58486.475700976,w,,,0.0865208,,21.0758,,Pan-STARRS1,2,,MJD,
58486.4877061998,w,,,0.0529853,,20.9937,,Pan-STARRS1,2,,MJD,
58486.4996402114,w,,,0.129196,,21.1174,,Pan-STARRS1,2,,MJD,
58486.5116537703,w,,,0.0850959,,21.0646,,Pan-STARRS1,2,,MJD,
58487.4774871269,w,,,0.102587,,20.9493,,Pan-STARRS1,2,,MJD,
58487.4886547755,w,,,0.0943177,,20.8885,,Pan-STARRS1,2,,MJD,
58487.4997728881,w,,,0.117836,,21.0588,,Pan-STARRS1,2,,MJD,
58487.5109488787,w,,,0.109802,,21.0671,,Pan-STARRS1,2,,MJD,
58495.3299451955,i,,,0.143499,,20.875,,Pan-STARRS1,2,,MJD,
58495.3452090839,i,,,0.188566,,21.1915,,Pan-STARRS1,2,,MJD,
58495.3606293034,i,,,0.165488,,21.0532,,Pan-STARRS1,2,,MJD,
58495.3762049259,i,,,0.183333,,20.918,,Pan-STARRS1,2,,MJD,
