time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57103.861,G,,,0.0,,19.42,,GAIA,2,,MJD,
57223.963,G,,,0.0,,19.40,,GAIA,2,,MJD,
57224.037,G,,,0.0,,19.30,,GAIA,2,,MJD,
57224.213,G,,,0.0,,19.27,,GAIA,2,,MJD,
57224.537,G,,,0.0,,19.20,,GAIA,2,,MJD,
57270.679,G,,,0.0,,19.65,,GAIA,2,,MJD,
57270.753,G,,,0.0,,19.50,,GAIA,2,,MJD,
57305.907,G,,,0.0,,19.54,,GAIA,2,,MJD,
57448.425,G,,,0.0,,19.35,,GAIA,2,,MJD,
57483.726,G,,,0.0,,19.63,,GAIA,2,,MJD,
58148.413,G,,,0.0,,19.28,,GAIA,2,,MJD,
58148.589,G,,,0.0,,19.33,,GAIA,2,,MJD,
58199.655,G,,,0.0,,19.09,,GAIA,2,,MJD,
58345.397,G,,,0.0,,19.55,,GAIA,2,,MJD,
58523.462,G,,,0.0,,19.15,,GAIA,2,,MJD,
58523.638,G,,,0.0,,19.38,,GAIA,2,,MJD,
58712.4029977,orange,,,,,18.05,,ATLAS1,1,,MJD,True
58718.3279977,orange,,,0.196,,20.369,,ATLAS1,1,,MJD,
58737.640,G,,,0.0,,17.81,,GAIA,2,,MJD,
58762.249,G,,,0.0,,18.35,,GAIA,2,,MJD,
