time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56724.217,R,,,,,21.23,,PTF48,1,,MJD,True
56726.212,R,,,,,20.12,,PTF48,1,,MJD,True
56729.36,R,,,,,21.33,,PTF48,1,,MJD,True
56735.2,R,,,0.03,,18.14,,PTF48,1,,MJD,
56735.252,R,,,0.03,,18.14,,PTF48,1,,MJD,
56735.387,r,,,0.02,,17.97,,PTF60,1,,MJD,
56736.167,r,,,0.01,,17.93,,PTF60,1,,MJD,
56737.272,r,,,0.01,,17.89,,PTF60,1,,MJD,
56737.35,R,,,0.02,,17.97,,PTF48,1,,MJD,
56741.444,R,,,0.01,,17.94,,PTF48,1,,MJD,
56745.414,r,,,0.01,,18.02,,PTF60,1,,MJD,
56751.231,r,,,0.01,,18.02,,PTF60,1,,MJD,
56754.192,r,,,0.01,,18.1,,PTF60,1,,MJD,
56754.275,R,,,0.02,,18.05,,PTF48,1,,MJD,
56757.184,r,,,0.13,,18.4,,PTF60,1,,MJD,
56760.283,r,,,0.04,,18.1,,PTF60,1,,MJD,
56763.181,r,,,0.02,,18.17,,PTF60,1,,MJD,
56763.322,R,,,0.03,,18.18,,PTF48,1,,MJD,
56764.327,R,,,0.03,,18.15,,PTF48,1,,MJD,
56767.252,r,,,0.01,,18.22,,PTF60,1,,MJD,
56771.316,r,,,0.01,,18.23,,PTF60,1,,MJD,
56777.42,r,,,0.05,,18.34,,PTF60,1,,MJD,
56782.289,R,,,0.02,,18.35,,PTF48,1,,MJD,
56786.429,r,,,0.03,,18.41,,PTF60,1,,MJD,
56789.397,r,,,0.07,,18.53,,PTF60,1,,MJD,
56797.2369286413,y,,,0.206602,,18.6844,,Pan-STARRS1,"3,6",,MJD,
56797.2389499723,y,,,0.110679,,18.6006,,Pan-STARRS1,"3,6",,MJD,
56797.2410993317,y,,,0.142687,,18.6025,,Pan-STARRS1,"3,6",,MJD,
56797.2432551398,y,,,0.161176,,18.6531,,Pan-STARRS1,"3,6",,MJD,
56797.2508128858,z,,,0.136658,,18.5791,,Pan-STARRS1,"3,6",,MJD,
56797.2522710093,z,,,0.126011,,18.5653,,Pan-STARRS1,"3,6",,MJD,
56797.2537268051,z,,,0.122038,,18.631,,Pan-STARRS1,"3,6",,MJD,
56797.2551888983,z,,,0.0744337,,18.5291,,Pan-STARRS1,"3,6",,MJD,
56803.32,r,,,0.01,,18.49,,PTF60,1,,MJD,
56804.311,r,,,0.01,,18.49,,PTF60,1,,MJD,
56805.209,R,,,0.02,,18.52,,PTF48,1,,MJD,
56808.3,r,,,0.02,,18.6,,PTF60,1,,MJD,
56812.27,r,,,0.02,,18.62,,PTF60,1,,MJD,
56816.256,r,,,0.04,,18.83,,PTF60,1,,MJD,
56830.297,r,,,0.05,,19.63,,PTF60,1,,MJD,
56845.261,r,,,0.18,,20.15,,PTF60,1,,MJD,
56879.17,r,,,0.17,,20.13,,PTF60,1,,MJD,
