time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52910.173000,R,,,,,23.7103,Natural,CTIO 4m,1,,MJD,True
52931.139800,R,,,,,24.4958,Natural,CTIO 4m,1,,MJD,True
52931.154400,I,,,,,23.8161,Natural,CTIO 4m,1,,MJD,True
52934.135300,R,,,,,23.8757,Natural,CTIO 4m,1,,MJD,True
52934.158800,I,,,,,23.2600,Natural,CTIO 4m,1,,MJD,True
52940.160400,R,,,,,23.9815,Natural,CTIO 4m,1,,MJD,True
52940.179800,I,,,,,23.4912,Natural,CTIO 4m,1,,MJD,True
52944.123700,R,,,,,23.1056,Natural,CTIO 4m,1,,MJD,True
52944.142400,I,,,,,22.8838,Natural,CTIO 4m,1,,MJD,True
52958.151000,R,,,,,23.5510,Natural,CTIO 4m,1,,MJD,True
52958.170700,I,,,,,23.2130,Natural,CTIO 4m,1,,MJD,True
52962.159100,R,,,,,23.8652,Natural,CTIO 4m,1,,MJD,True
52962.178200,I,,,,,23.2877,Natural,CTIO 4m,1,,MJD,True
52966.166200,R,,,,,23.8740,Natural,CTIO 4m,1,,MJD,True
52966.186200,I,,,,,23.2817,Natural,CTIO 4m,1,,MJD,True
52972.169300,R,,,,,24.0971,Natural,CTIO 4m,1,,MJD,True
52974.111800,R,,,,,24.0670,Natural,CTIO 4m,1,,MJD,True
52974.130400,I,,,,,23.5718,Natural,CTIO 4m,1,,MJD,True
52976.119800,R,,,,,23.8661,Natural,CTIO 4m,1,,MJD,True
52976.141500,I,,,,,23.3178,Natural,CTIO 4m,1,,MJD,True
52986.157000,R,,,,,23.8616,Natural,CTIO 4m,1,,MJD,True
52986.176300,I,,,,,23.3246,Natural,CTIO 4m,1,,MJD,True
52990.138300,R,,,,,24.0542,Natural,CTIO 4m,1,,MJD,True
52990.157000,I,,,,,23.3330,Natural,CTIO 4m,1,,MJD,True
52994.134000,R,,,,,24.0418,Natural,CTIO 4m,1,,MJD,True
53268.208100,R,,,,,24.3624,Natural,CTIO 4m,1,,MJD,True
53283.249900,R,,,,,23.5093,Natural,CTIO 4m,1,,MJD,True
53289.137300,R,,,,,23.7475,Natural,CTIO 4m,1,,MJD,True
53289.156600,I,,,,,23.1037,Natural,CTIO 4m,1,,MJD,True
53293.146900,I,,,,,22.6308,Natural,CTIO 4m,1,,MJD,True
53297.144100,R,,,,,23.2339,Natural,CTIO 4m,1,,MJD,
53297.163500,I,,,,,22.8577,Natural,CTIO 4m,1,,MJD,
53301.121000,R,,,,,23.0312,Natural,CTIO 4m,1,,MJD,
53301.151700,I,,,,,22.7176,Natural,CTIO 4m,1,,MJD,
53315.154200,R,,,,,23.0056,Natural,CTIO 4m,1,,MJD,
53315.172800,I,,,,,22.7992,Natural,CTIO 4m,1,,MJD,
53323.166700,R,,,,,23.1881,Natural,CTIO 4m,1,,MJD,
53329.135400,R,,,,,23.5910,Natural,CTIO 4m,1,,MJD,True
53329.155600,I,,,,,22.9538,Natural,CTIO 4m,1,,MJD,
53342.163100,R,,,,,24.0992,Natural,CTIO 4m,1,,MJD,True
53342.182000,I,,,,,23.4747,Natural,CTIO 4m,1,,MJD,
53346.169500,R,,,,,23.9110,Natural,CTIO 4m,1,,MJD,True
53346.189700,I,,,,,23.1965,Natural,CTIO 4m,1,,MJD,True
53350.152700,R,,,,,24.4769,Natural,CTIO 4m,1,,MJD,True
53350.172000,I,,,,,23.6622,Natural,CTIO 4m,1,,MJD,True
53354.145300,R,,,,,24.2716,Natural,CTIO 4m,1,,MJD,True
53354.166600,I,,,,,23.5276,Natural,CTIO 4m,1,,MJD,True
53377.093800,R,,,,,24.0919,Natural,CTIO 4m,1,,MJD,True
53377.107100,I,,,,,23.4481,Natural,CTIO 4m,1,,MJD,True
53381.079200,R,,,,,24.1529,Natural,CTIO 4m,1,,MJD,True
53381.092200,I,,,,,23.4955,Natural,CTIO 4m,1,,MJD,True
53385.106200,R,,,,,23.9356,Natural,CTIO 4m,1,,MJD,True
53385.119100,I,,,,,23.1356,Natural,CTIO 4m,1,,MJD,True
53389.089100,R,,,,,22.7319,Natural,CTIO 4m,1,,MJD,True
53389.102200,I,,,,,22.2595,Natural,CTIO 4m,1,,MJD,True
53639.163300,R,,,,,23.9854,Natural,CTIO 4m,1,,MJD,True
53639.183000,I,,,,,23.4004,Natural,CTIO 4m,1,,MJD,True
53643.178000,I,,,,,22.5812,Natural,CTIO 4m,1,,MJD,True
53649.159500,R,,,,,23.1971,Natural,CTIO 4m,1,,MJD,True
53652.143400,I,,,,,23.3862,Natural,CTIO 4m,1,,MJD,True
53654.154500,R,,,,,23.9064,Natural,CTIO 4m,1,,MJD,True
53654.174300,I,,,,,23.5776,Natural,CTIO 4m,1,,MJD,True
53682.145000,R,,,,,23.1546,Natural,CTIO 4m,1,,MJD,True
53696.166700,R,,,,,24.3570,Natural,CTIO 4m,1,,MJD,True
53696.185400,I,,,,,23.2660,Natural,CTIO 4m,1,,MJD,True
53702.186600,R,,,,,24.3636,Natural,CTIO 4m,1,,MJD,True
53702.206100,I,,,,,23.5919,Natural,CTIO 4m,1,,MJD,True
53706.154300,R,,,,,24.4566,Natural,CTIO 4m,1,,MJD,True
53706.173100,I,,,,,23.3515,Natural,CTIO 4m,1,,MJD,True
53708.159700,R,,,,,24.2358,Natural,CTIO 4m,1,,MJD,True
53708.175900,I,,,,,23.4499,Natural,CTIO 4m,1,,MJD,True
53712.165400,R,,,,,24.0115,Natural,CTIO 4m,1,,MJD,True
53712.182600,I,,,,,23.2379,Natural,CTIO 4m,1,,MJD,True
53714.079300,R,,,,,23.4133,Natural,CTIO 4m,1,,MJD,True
53714.092200,I,,,,,23.0943,Natural,CTIO 4m,1,,MJD,True
53731.128400,R,,,,,24.2227,Natural,CTIO 4m,1,,MJD,True
53735.090800,R,,,,,24.3667,Natural,CTIO 4m,1,,MJD,True
53735.098600,I,,,,,23.7463,Natural,CTIO 4m,1,,MJD,True
53738.098200,R,,,,,24.5200,Natural,CTIO 4m,1,,MJD,True
53992.347600,R,,,,,23.1799,Natural,CTIO 4m,1,,MJD,True
53994.384200,R,,,,,23.9084,Natural,CTIO 4m,1,,MJD,True
54003.359700,R,,,,,23.6467,Natural,CTIO 4m,1,,MJD,True
54003.393700,I,,,,,22.8252,Natural,CTIO 4m,1,,MJD,True
54006.391700,R,,,,,23.7525,Natural,CTIO 4m,1,,MJD,True
54021.311000,R,,,,,23.0053,Natural,CTIO 4m,1,,MJD,True
54021.329800,I,,,,,22.8477,Natural,CTIO 4m,1,,MJD,True
54023.378900,R,,,,,22.9974,Natural,CTIO 4m,1,,MJD,True
54025.325800,R,,,,,22.6923,Natural,CTIO 4m,1,,MJD,True
54029.346300,I,,,,,23.3927,Natural,CTIO 4m,1,,MJD,True
54029.365400,R,,,,,23.8130,Natural,CTIO 4m,1,,MJD,True
54031.341600,R,,,,,23.8323,Natural,CTIO 4m,1,,MJD,True
54031.356700,I,,,,,23.0124,Natural,CTIO 4m,1,,MJD,True
54037.331600,I,,,,,22.8379,Natural,CTIO 4m,1,,MJD,True
54037.349200,R,,,,,23.5947,Natural,CTIO 4m,1,,MJD,True
54039.323900,R,,,,,23.1433,Natural,CTIO 4m,1,,MJD,True
54039.364000,I,,,,,22.2824,Natural,CTIO 4m,1,,MJD,True
54051.152300,R,,,,,23.9013,Natural,CTIO 4m,1,,MJD,True
54051.171600,I,,,,,22.9238,Natural,CTIO 4m,1,,MJD,True
54055.271600,R,,,,,23.3864,Natural,CTIO 4m,1,,MJD,True
54055.292900,I,,,,,22.6164,Natural,CTIO 4m,1,,MJD,True
54059.289500,R,,,,,23.7658,Natural,CTIO 4m,1,,MJD,True
54059.305300,I,,,,,22.7569,Natural,CTIO 4m,1,,MJD,True
54063.316800,R,,,,,23.8291,Natural,CTIO 4m,1,,MJD,True
54063.320300,I,,,,,22.9591,Natural,CTIO 4m,1,,MJD,True
54069.293300,R,,,,,23.5293,Natural,CTIO 4m,1,,MJD,True
54082.156300,R,,,,,23.7395,Natural,CTIO 4m,1,,MJD,True
54082.169300,I,,,,,22.8809,Natural,CTIO 4m,1,,MJD,True
54086.143200,R,,,,,23.6238,Natural,CTIO 4m,1,,MJD,True
54086.163700,I,,,,,22.5568,Natural,CTIO 4m,1,,MJD,True
54096.170600,R,,,,,23.2060,Natural,CTIO 4m,1,,MJD,True
54099.121900,I,,,,,22.1521,Natural,CTIO 4m,1,,MJD,True
54114.153100,R,,,,,23.3997,Natural,CTIO 4m,1,,MJD,True
54114.155500,I,,,,,22.5652,Natural,CTIO 4m,1,,MJD,True
