time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53268.190100,R,,,,,24.1519,Natural,CTIO 4m,1,,MJD,True
53283.242200,R,,,,,23.3961,Natural,CTIO 4m,1,,MJD,True
53283.257300,I,,,,,22.7058,Natural,CTIO 4m,1,,MJD,True
53289.129900,R,,,,,23.3807,Natural,CTIO 4m,1,,MJD,True
53289.144300,I,,,,,23.1563,Natural,CTIO 4m,1,,MJD,True
53293.117100,R,,,,,23.8106,Natural,CTIO 4m,1,,MJD,True
53297.136900,R,,,,,23.9873,Natural,CTIO 4m,1,,MJD,True
53297.151700,I,,,,,23.5437,Natural,CTIO 4m,1,,MJD,True
53315.147200,R,,,,,24.1609,Natural,CTIO 4m,1,,MJD,True
53315.161200,I,,,,,23.4438,Natural,CTIO 4m,1,,MJD,True
53323.159300,R,,,,,24.4772,Natural,CTIO 4m,1,,MJD,True
53323.175700,I,,,,,23.7900,Natural,CTIO 4m,1,,MJD,True
53327.183100,R,,,,,23.9448,Natural,CTIO 4m,1,,MJD,True
53329.128100,R,,,,,23.9224,Natural,CTIO 4m,1,,MJD,True
53329.143700,I,,,,,23.4780,Natural,CTIO 4m,1,,MJD,True
53342.155800,R,,,,,24.1824,Natural,CTIO 4m,1,,MJD,True
53342.170200,I,,,,,23.5099,Natural,CTIO 4m,1,,MJD,True
53346.158100,R,,,,,24.0391,Natural,CTIO 4m,1,,MJD,True
53346.176700,I,,,,,23.3486,Natural,CTIO 4m,1,,MJD,True
53350.145200,R,,,,,24.4181,Natural,CTIO 4m,1,,MJD,True
53350.159800,I,,,,,23.6884,Natural,CTIO 4m,1,,MJD,True
53356.147200,R,,,,,24.1489,Natural,CTIO 4m,1,,MJD,True
53356.169900,I,,,,,23.6132,Natural,CTIO 4m,1,,MJD,True
53379.088300,R,,,,,24.0666,Natural,CTIO 4m,1,,MJD,True
53379.102400,I,,,,,23.1520,Natural,CTIO 4m,1,,MJD,True
53383.067100,R,,,,,24.2156,Natural,CTIO 4m,1,,MJD,True
53383.081600,I,,,,,23.5772,Natural,CTIO 4m,1,,MJD,True
53387.070000,R,,,,,23.4853,Natural,CTIO 4m,1,,MJD,True
53387.084300,I,,,,,22.9850,Natural,CTIO 4m,1,,MJD,True
53639.156000,R,,,,,23.8414,Natural,CTIO 4m,1,,MJD,True
53639.195000,I,,,,,23.2846,Natural,CTIO 4m,1,,MJD,True
53643.152400,R,,,,,23.2657,Natural,CTIO 4m,1,,MJD,True
53643.166300,I,,,,,22.7103,Natural,CTIO 4m,1,,MJD,True
53649.152400,R,,,,,22.9336,Natural,CTIO 4m,1,,MJD,True
53652.132900,R,,,,,23.8966,Natural,CTIO 4m,1,,MJD,True
53652.149300,I,,,,,23.4348,Natural,CTIO 4m,1,,MJD,True
53654.158000,R,,,,,23.9331,Natural,CTIO 4m,1,,MJD,True
53654.180100,I,,,,,23.4628,Natural,CTIO 4m,1,,MJD,True
53682.136900,R,,,,,23.3993,Natural,CTIO 4m,1,,MJD,
53682.166200,I,,,,,22.7931,Natural,CTIO 4m,1,,MJD,True
53696.159300,R,,,,,22.7414,Natural,CTIO 4m,1,,MJD,
53696.173700,I,,,,,22.5866,Natural,CTIO 4m,1,,MJD,
53700.252300,R,,,,,22.8076,Natural,CTIO 4m,1,,MJD,
53702.179500,R,,,,,22.8648,Natural,CTIO 4m,1,,MJD,
53702.193600,I,,,,,22.6191,Natural,CTIO 4m,1,,MJD,
53706.147200,R,,,,,22.9809,Natural,CTIO 4m,1,,MJD,
53706.161200,I,,,,,22.6374,Natural,CTIO 4m,1,,MJD,
53708.156200,R,,,,,23.0605,Natural,CTIO 4m,1,,MJD,
53708.170100,I,,,,,22.9316,Natural,CTIO 4m,1,,MJD,
53712.161500,R,,,,,23.4526,Natural,CTIO 4m,1,,MJD,
53712.176800,I,,,,,22.8375,Natural,CTIO 4m,1,,MJD,
53714.075800,R,,,,,23.3470,Natural,CTIO 4m,1,,MJD,
53714.086400,I,,,,,22.6088,Natural,CTIO 4m,1,,MJD,
53735.087300,R,,,,,24.3850,Natural,CTIO 4m,1,,MJD,True
53738.091000,R,,,,,24.3807,Natural,CTIO 4m,1,,MJD,True
53994.376300,R,,,,,23.9794,Natural,CTIO 4m,1,,MJD,True
54003.352400,R,,,,,23.5406,Natural,CTIO 4m,1,,MJD,True
54003.382400,I,,,,,22.9105,Natural,CTIO 4m,1,,MJD,True
54006.384100,R,,,,,24.0640,Natural,CTIO 4m,1,,MJD,True
54021.318000,I,,,,,22.8289,Natural,CTIO 4m,1,,MJD,True
54023.370900,R,,,,,23.2165,Natural,CTIO 4m,1,,MJD,True
54025.318200,R,,,,,23.2845,Natural,CTIO 4m,1,,MJD,True
54029.334700,I,,,,,23.3413,Natural,CTIO 4m,1,,MJD,True
54029.358300,R,,,,,23.9862,Natural,CTIO 4m,1,,MJD,True
54039.331000,R,,,,,23.3191,Natural,CTIO 4m,1,,MJD,True
54051.144100,R,,,,,23.7610,Natural,CTIO 4m,1,,MJD,True
54051.159700,I,,,,,23.2888,Natural,CTIO 4m,1,,MJD,True
54055.260600,R,,,,,23.3878,Natural,CTIO 4m,1,,MJD,True
54055.275400,I,,,,,22.5953,Natural,CTIO 4m,1,,MJD,True
54065.308000,R,,,,,23.7489,Natural,CTIO 4m,1,,MJD,True
54065.321800,I,,,,,22.7290,Natural,CTIO 4m,1,,MJD,True
54067.277200,R,,,,,23.7146,Natural,CTIO 4m,1,,MJD,True
54067.297400,I,,,,,23.0476,Natural,CTIO 4m,1,,MJD,True
54069.286100,R,,,,,23.6976,Natural,CTIO 4m,1,,MJD,True
54082.148700,R,,,,,23.5531,Natural,CTIO 4m,1,,MJD,True
54082.180500,I,,,,,23.2640,Natural,CTIO 4m,1,,MJD,True
54086.135400,R,,,,,24.0661,Natural,CTIO 4m,1,,MJD,True
54086.177100,I,,,,,22.9738,Natural,CTIO 4m,1,,MJD,True
54088.184700,R,,,,,24.0950,Natural,CTIO 4m,1,,MJD,True
54088.188200,I,,,,,23.3450,Natural,CTIO 4m,1,,MJD,True
54090.131600,R,,,,,24.5832,Natural,CTIO 4m,1,,MJD,True
54090.142800,I,,,,,23.8174,Natural,CTIO 4m,1,,MJD,True
54092.150300,R,,,,,24.4602,Natural,CTIO 4m,1,,MJD,True
54092.171800,I,,,,,23.6713,Natural,CTIO 4m,1,,MJD,True
54094.161200,R,,,,,23.9802,Natural,CTIO 4m,1,,MJD,True
54094.182600,I,,,,,23.4647,Natural,CTIO 4m,1,,MJD,True
54095.167700,R,,,,,23.8177,Natural,CTIO 4m,1,,MJD,True
54095.170100,I,,,,,22.9823,Natural,CTIO 4m,1,,MJD,True
54098.160600,I,,,,,22.1676,Natural,CTIO 4m,1,,MJD,True
54098.166400,R,,,,,22.8785,Natural,CTIO 4m,1,,MJD,True
54109.135500,R,,,,,23.0081,Natural,CTIO 4m,1,,MJD,True
54111.147400,R,,,,,23.7371,Natural,CTIO 4m,1,,MJD,True
54111.169300,I,,,,,22.9525,Natural,CTIO 4m,1,,MJD,True
54114.126500,R,,,,,23.8231,Natural,CTIO 4m,1,,MJD,True
54114.130600,I,,,,,23.1699,Natural,CTIO 4m,1,,MJD,True
54351.352100,R,,,,,23.9025,Natural,CTIO 4m,1,,MJD,True
54354.372900,R,,,,,24.0238,Natural,CTIO 4m,1,,MJD,True
54354.403900,I,,,,,23.3311,Natural,CTIO 4m,1,,MJD,True
54360.340900,R,,,,,23.8587,Natural,CTIO 4m,1,,MJD,True
54375.351300,I,,,,,22.5421,Natural,CTIO 4m,1,,MJD,True
54379.329300,R,,,,,23.4030,Natural,CTIO 4m,1,,MJD,True
54381.315700,R,,,,,23.6670,Natural,CTIO 4m,1,,MJD,True
54381.344000,I,,,,,23.4196,Natural,CTIO 4m,1,,MJD,True
54383.335500,R,,,,,24.0492,Natural,CTIO 4m,1,,MJD,True
54383.351000,I,,,,,23.7373,Natural,CTIO 4m,1,,MJD,True
54385.359600,I,,,,,22.9628,Natural,CTIO 4m,1,,MJD,True
54387.317200,R,,,,,23.1656,Natural,CTIO 4m,1,,MJD,True
54387.346700,I,,,,,23.2162,Natural,CTIO 4m,1,,MJD,True
54389.300700,R,,,,,23.3040,Natural,CTIO 4m,1,,MJD,True
54393.305500,R,,,,,23.9976,Natural,CTIO 4m,1,,MJD,True
54409.303600,R,,,,,23.9881,Natural,CTIO 4m,1,,MJD,True
54409.324500,I,,,,,23.2447,Natural,CTIO 4m,1,,MJD,True
54413.150200,R,,,,,23.7639,Natural,CTIO 4m,1,,MJD,True
54415.131000,R,,,,,24.1210,Natural,CTIO 4m,1,,MJD,True
54415.150600,I,,,,,23.2740,Natural,CTIO 4m,1,,MJD,True
54419.150700,R,,,,,24.3498,Natural,CTIO 4m,1,,MJD,True
54419.173600,I,,,,,23.6751,Natural,CTIO 4m,1,,MJD,True
54421.127000,R,,,,,23.9883,Natural,CTIO 4m,1,,MJD,True
54423.284600,R,,,,,23.7213,Natural,CTIO 4m,1,,MJD,True
54435.216800,R,,,,,23.5193,Natural,CTIO 4m,1,,MJD,True
54435.232600,I,,,,,22.7882,Natural,CTIO 4m,1,,MJD,True
54439.134600,R,,,,,24.3048,Natural,CTIO 4m,1,,MJD,True
54439.149100,I,,,,,23.7090,Natural,CTIO 4m,1,,MJD,True
54441.162100,R,,,,,23.9080,Natural,CTIO 4m,1,,MJD,True
54443.113600,R,,,,,23.9935,Natural,CTIO 4m,1,,MJD,True
54443.128200,I,,,,,22.9720,Natural,CTIO 4m,1,,MJD,True
54445.109800,R,,,,,24.4481,Natural,CTIO 4m,1,,MJD,True
54445.132000,I,,,,,23.5563,Natural,CTIO 4m,1,,MJD,True
54447.184400,R,,,,,24.2699,Natural,CTIO 4m,1,,MJD,True
54449.183900,R,,,,,24.0581,Natural,CTIO 4m,1,,MJD,True
54453.184800,R,,,,,23.0882,Natural,CTIO 4m,1,,MJD,True
