time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56910.493,G,,,0.0,,19.22,,GAIA,3,,MJD,
56910.567,G,,,0.0,,19.06,,GAIA,3,,MJD,
56931.942,G,,,0.0,,18.88,,GAIA,3,,MJD,
56932.118,G,,,0.0,,18.90,,GAIA,3,,MJD,
56932.193,G,,,0.0,,18.66,,GAIA,3,,MJD,
56932.369,G,,,0.0,,19.37,,GAIA,3,,MJD,
56940.197,G,,,0.0,,19.34,,GAIA,3,,MJD,
56940.373,G,,,0.0,,19.32,,GAIA,3,,MJD,
56940.447,G,,,0.0,,19.29,,GAIA,3,,MJD,
56940.623,G,,,0.0,,19.28,,GAIA,3,,MJD,
56940.697,G,,,0.0,,19.32,,GAIA,3,,MJD,
57020.722,G,,,0.0,,18.94,,GAIA,3,,MJD,
57020.898,G,,,0.0,,18.88,,GAIA,3,,MJD,
57020.972,G,,,0.0,,18.86,,GAIA,3,,MJD,
57032.904,G,,,0.0,,18.81,,GAIA,3,,MJD,
57032.978,G,,,0.0,,19.37,,GAIA,3,,MJD,
57069.133,G,,,0.0,,18.92,,GAIA,3,,MJD,
57069.207,G,,,0.0,,18.93,,GAIA,3,,MJD,
57106.851,G,,,0.0,,19.16,,GAIA,3,,MJD,
57106.925,G,,,0.0,,19.15,,GAIA,3,,MJD,
57107.101,G,,,0.0,,19.14,,GAIA,3,,MJD,
57116.679,G,,,0.0,,20.12,,GAIA,3,,MJD,
