time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56916.016,G,,,0.0,,19.18,,GAIA,3,,MJD,
56916.090,G,,,0.0,,19.35,,GAIA,3,,MJD,
56916.267,G,,,0.0,,19.18,,GAIA,3,,MJD,
56939.646,G,,,0.0,,18.74,,GAIA,3,,MJD,
56939.720,G,,,0.0,,18.73,,GAIA,3,,MJD,
56939.896,G,,,0.0,,18.79,,GAIA,3,,MJD,
56958.904,G,,,0.0,,19.25,,GAIA,3,,MJD,
56958.978,G,,,0.0,,19.28,,GAIA,3,,MJD,
56959.154,G,,,0.0,,19.22,,GAIA,3,,MJD,
56959.229,G,,,0.0,,19.25,,GAIA,3,,MJD,
57034.382,G,,,0.0,,18.76,,GAIA,3,,MJD,
57061.621,G,,,0.0,,19.27,,GAIA,3,,MJD,
57100.327,G,,,0.0,,19.30,,GAIA,3,,MJD,
57100.401,G,,,0.0,,19.30,,GAIA,3,,MJD,
57158.840,G,,,0.0,,19.38,,GAIA,3,,MJD,
57159.016,G,,,0.0,,19.34,,GAIA,3,,MJD,
