time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56911.696,G,,,0.0,,20.03,,GAIA,2,,MJD,
56933.749,G,,,0.0,,20.07,,GAIA,2,,MJD,
56933.823,G,,,0.0,,20.21,,GAIA,2,,MJD,
56933.999,G,,,0.0,,19.48,,GAIA,2,,MJD,
56934.073,G,,,0.0,,20.15,,GAIA,2,,MJD,
56934.249,G,,,0.0,,19.41,,GAIA,2,,MJD,
56934.323,G,,,0.0,,19.42,,GAIA,2,,MJD,
56942.328,G,,,0.0,,20.07,,GAIA,2,,MJD,
56942.504,G,,,0.0,,19.42,,GAIA,2,,MJD,
56942.578,G,,,0.0,,19.42,,GAIA,2,,MJD,
56942.828,G,,,0.0,,20.17,,GAIA,2,,MJD,
56943.005,G,,,0.0,,20.26,,GAIA,2,,MJD,
57032.848,G,,,0.0,,19.48,,GAIA,2,,MJD,
57033.024,G,,,0.0,,19.38,,GAIA,2,,MJD,
57067.755,G,,,0.0,,20.03,,GAIA,2,,MJD,
57067.829,G,,,0.0,,19.99,,GAIA,2,,MJD,
