time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56943.702,G,,,0.0,,19.95,,GAIA,2,,MJD,
57018.894,G,,,0.0,,17.91,,GAIA,2,,MJD,
57018.968,G,,,0.0,,17.91,,GAIA,2,,MJD,
57031.900,G,,,0.0,,17.96,,GAIA,2,,MJD,
57031.974,G,,,0.0,,17.93,,GAIA,2,,MJD,
57032.150,G,,,0.0,,18.12,,GAIA,2,,MJD,
57032.224,G,,,0.0,,18.14,,GAIA,2,,MJD,
57038.2753,g,,,,,23.4424,,,"3,4",,MJD,
57038.2753,r,,,0.0084,,17.2603,,,"3,4",,MJD,
57038.2767,g,,,,,23.8407,,,"3,4",,MJD,
57038.2767,r,,,0.0087,,17.1321,,,"3,4",,MJD,
57038.2767,u,,,,,23.1074,,,"3,4",,MJD,
57040.2882,g,,,0.0089,,17.2477,,,"3,4",,MJD,
57040.2882,r,,,0.0088,,17.4835,,,"3,4",,MJD,
57040.2882,u,,,,,22.7913,,,"3,4",,MJD,
57045.718,r,,,,,23.6592,,,"3,4",,MJD,
57045.72,g,,,,,23.5172,,,"3,4",,MJD,
57045.723,i,,,,,22.8423,,,"3,4",,MJD,
57046.745,i,,,0.0062,,17.2049,,,"3,4",,MJD,
57046.748,g,,,,,23.2527,,,"3,4",,MJD,
57046.75,i,,,,,22.757,,,"3,4",,MJD,
57051.744,g,,,,,24.0923,,,"3,4",,MJD,
57051.747,i,,,,,22.8917,,,"3,4",,MJD,
57051.75,r,,,,,22.8581,,,"3,4",,MJD,
57055.701,g,,,,,22.252,,,"3,4",,MJD,
57055.703,i,,,,,22.6613,,,"3,4",,MJD,
57055.706,r,,,0.0201,,17.8266,,,"3,4",,MJD,
57057.736,g,,,,,22.3356,,,"3,4",,MJD,
57057.739,i,,,,,22.495,,,"3,4",,MJD,
57057.742,r,,,,,22.5437,,,"3,4",,MJD,
57059.679,g,,,,,22.2014,,,"3,4",,MJD,
57059.681,i,,,,,22.3978,,,"3,4",,MJD,
57059.684,r,,,,,22.2284,,,"3,4",,MJD,
57068.380,G,,,0.0,,19.14,,GAIA,2,,MJD,
