time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57061.5,,,,,,18.5,,,"4,7",,MJD,
57062.607,G,,,0.0,,18.64,,GAIA,4,,MJD,
57062.681,G,,,0.0,,18.62,,GAIA,4,,MJD,
57067.2967,g,,,0.1073,,18.83,,,"5,6",,MJD,
57067.2967,r,,,0.115,,18.8504,,,"5,6",,MJD,
57068.2789,g,,,0.0106,,18.9954,,,"5,6",,MJD,
57068.2789,r,,,0.0124,,18.7962,,,"5,6",,MJD,
57069.2471,g,,,0.0067,,19.0641,,,"5,6",,MJD,
57069.2471,r,,,0.0089,,18.8704,,,"5,6",,MJD,
57069.2523,g,,,0.007,,19.0643,,,"5,6",,MJD,
57069.2523,r,,,0.0093,,18.824,,,"5,6",,MJD,
57069.2523,u,,,0.0584,,20.3564,,,"5,6",,MJD,
57070.754,g,,,0.01,,19.1558,,,"5,6",,MJD,
57070.757,i,,,0.0194,,19.1558,,,"5,6",,MJD,
57070.76,r,,,0.0108,,18.8542,,,"5,6",,MJD,
57082.651,g,,,0.087,,20.3632,,,"5,6",,MJD,
57082.654,r,,,0.0435,,19.7189,,,"5,6",,MJD,
57082.658,r,,,0.0393,,19.5718,,,"5,6",,MJD,
57085.1673,g,,,0.135,,20.7956,,,"5,6",,MJD,
57085.1673,r,,,0.0552,,19.4572,,,"5,6",,MJD,
57085.1673,u,,,,,24.6592,,,"5,6",,MJD,
57096.408,G,,,0.0,,20.15,,GAIA,4,,MJD,
57105.0541,r,,,0.0747,,19.6983,,,"5,6",,MJD,
57106.0915,r,,,0.1292,,20.4919,,,"5,6",,MJD,
57106.1033,g,,,0.1965,,21.5714,,,"5,6",,MJD,
57128.055,r,,,,,22.3287,,,"5,6",,MJD,
57133.9583,V,,,,,19.9805,,,"5,6",,MJD,
