time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57088.374,G,,,0.0,,18.47,,GAIA,2,,MJD,
57088.448,G,,,0.0,,18.51,,GAIA,2,,MJD,
57088.624,G,,,0.0,,18.53,,GAIA,2,,MJD,
57088.698,G,,,0.0,,18.52,,GAIA,2,,MJD,
57088.874,G,,,0.0,,18.53,,GAIA,2,,MJD,
57096.379,G,,,0.0,,20.23,,GAIA,2,,MJD,
57096.453,G,,,0.0,,20.18,,GAIA,2,,MJD,
57096.629,G,,,0.0,,20.54,,GAIA,2,,MJD,
57096.703,G,,,0.0,,20.61,,GAIA,2,,MJD,
57101.4165,i,,,,,21.5861,,,"3,4",,MJD,
57122.2241,B,,,,,20.4916,,,"3,4",,MJD,
57122.2241,g,,,,,23.4546,,,"3,4",,MJD,
57122.2241,r,,,,,27.4185,,,"3,4",,MJD,
57460.417,G,,,0.0,,18.68,,GAIA,2,,MJD,
57460.491,G,,,0.0,,18.68,,GAIA,2,,MJD,
58453.162,G,,,0.0,,19.15,,GAIA,2,,MJD,
