time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57097.334,G,,,0.0,,18.61,,GAIA,3,,MJD,
57097.408,G,,,0.0,,18.62,,GAIA,3,,MJD,
57110.1601,B,,,,,19.9414,,,"4,5",,MJD,
57110.1615,B,,,,,19.4786,,,"4,5",,MJD,
57110.163,B,,,,,19.3193,,,"4,5",,MJD,
57110.1644,V,,,,,19.8567,,,"4,5",,MJD,
57110.1658,V,,,,,19.8159,,,"4,5",,MJD,
57113.602,r,,,0.0258,,16.8251,,,"4,5",,MJD,
57113.605,g,,,0.0317,,17.2177,,,"4,5",,MJD,
57113.607,i,,,0.0211,,16.9937,,,"4,5",,MJD,
57115.0159,V,,,,,18.3386,,,"4,5",,MJD,
57115.0173,V,,,,,18.2151,,,"4,5",,MJD,
57115.0188,V,,,,,18.5933,,,"4,5",,MJD,
57115.0217,R,,,,,18.7182,,,"4,5",,MJD,
57115.0231,R,,,,,18.7815,,,"4,5",,MJD,
57115.026,I,,,,,17.7787,,,"4,5",,MJD,
57117.577,r,,,0.0291,,16.5047,,,"4,5",,MJD,
57117.58,g,,,,,22.31,,,"4,5",,MJD,
57117.582,i,,,0.0232,,16.8371,,,"4,5",,MJD,
57120.9956,B,,,,,18.9377,,,"4,5",,MJD,
57120.997,B,,,,,18.8396,,,"4,5",,MJD,
57120.9999,V,,,,,19.0102,,,"4,5",,MJD,
57121.0013,V,,,,,19.0754,,,"4,5",,MJD,
57121.0028,V,,,,,19.0828,,,"4,5",,MJD,
57121.0042,R,,,,,19.1665,,,"4,5",,MJD,
57121.0057,R,,,,,19.141,,,"4,5",,MJD,
57121.0071,R,,,,,19.2435,,,"4,5",,MJD,
57121.0086,I,,,,,17.8292,,,"4,5",,MJD,
57121.01,I,,,,,18.1994,,,"4,5",,MJD,
57121.0114,I,,,,,18.2961,,,"4,5",,MJD,
57121.712,r,,,0.0164,,16.9492,,,"4,5",,MJD,
57121.715,g,,,,,22.9718,,,"4,5",,MJD,
57121.717,i,,,0.0161,,16.6962,,,"4,5",,MJD,
57129.587,r,,,0.0087,,17.1445,,,"4,5",,MJD,
57129.59,g,,,,,23.844,,,"4,5",,MJD,
57129.592,i,,,0.0116,,16.9293,,,"4,5",,MJD,
57137.603,r,,,0.009,,17.0089,,,"4,5",,MJD,
57137.606,g,,,,,24.1573,,,"4,5",,MJD,
57137.608,i,,,0.0149,,16.9787,,,"4,5",,MJD,
57141.567,r,,,0.0129,,17.0315,,,"4,5",,MJD,
57141.569,g,,,,,22.9433,,,"4,5",,MJD,
57141.571,i,,,0.0161,,17.0473,,,"4,5",,MJD,
57147.1815,g,,,,,20.0796,,,"4,5",,MJD,
57147.1815,r,,,,,22.9768,,,"4,5",,MJD,
57147.1815,u,,,,,20.3125,,,"4,5",,MJD,
57147.1856,g,,,,,21.1987,,,"4,5",,MJD,
57147.1856,r,,,0.0252,,18.0141,,,"4,5",,MJD,
57147.1856,u,,,,,20.0132,,,"4,5",,MJD,
57147.1891,g,,,0.0353,,18.7024,,,"4,5",,MJD,
57147.1891,r,,,0.0238,,17.7557,,,"4,5",,MJD,
57147.1891,u,,,,,20.2379,,,"4,5",,MJD,
57147.1926,g,,,,,21.0107,,,"4,5",,MJD,
57147.1926,r,,,0.0253,,17.8148,,,"4,5",,MJD,
57147.1926,u,,,,,20.7025,,,"4,5",,MJD,
57160.030,G,,,0.0,,20.47,,GAIA,3,,MJD,
57160.104,G,,,0.0,,20.44,,GAIA,3,,MJD,
57176.034,G,,,0.0,,20.66,,GAIA,3,,MJD,
