time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57100.356,G,,,0.0,,17.67,,GAIA,2,,MJD,
57100.430,G,,,0.0,,17.66,,GAIA,2,,MJD,
57121.1295,B,,,0.1884,,19.3167,,,"3,4",,MJD,
57121.1295,g,,,0.0114,,18.2253,,,"3,4",,MJD,
57121.1295,r,,,0.006,,17.4841,,,"3,4",,MJD,
57122.0959,B1pg,,,,,21.0337,,,"3,4",,MJD,
57122.0959,g,,,0.0114,,18.173,,,"3,4",,MJD,
57122.0959,r,,,0.0061,,17.4898,,,"3,4",,MJD,
57122.388,r,,,0.0026,,17.4881,,,"3,4",,MJD,
57123.1301,g,,,0.0626,,18.0371,,,"3,4",,MJD,
57123.1301,r,,,0.0387,,17.1178,,,"3,4",,MJD,
57123.1356,g,,,0.0125,,17.8545,,,"3,4",,MJD,
57123.1356,r,,,0.0071,,17.0985,,,"3,4",,MJD,
57124.1339,B,,,0.1212,,18.8156,,,"3,4",,MJD,
57124.1339,g,,,0.0061,,18.2361,,,"3,4",,MJD,
57124.1339,r,,,0.0037,,17.5068,,,"3,4",,MJD,
57125.1278,B1pg,,,0.0971,,18.2183,,,"3,4",,MJD,
57125.1278,g,,,0.0043,,18.221,,,"3,4",,MJD,
57125.1278,r,,,0.0033,,17.4891,,,"3,4",,MJD,
57125.4061,r,,,0.0025,,17.5361,,,"3,4",,MJD,
57126.1185,g,,,0.0046,,17.8771,,,"3,4",,MJD,
57126.1185,r,,,0.0044,,17.1037,,,"3,4",,MJD,
57127.1323,B1pg,,,0.0765,,17.7443,,,"3,4",,MJD,
57127.1323,g,,,0.0036,,18.2207,,,"3,4",,MJD,
57127.1323,r,,,0.0033,,17.4502,,,"3,4",,MJD,
57128.1794,g,,,0.0041,,18.288,,,"3,4",,MJD,
57128.1794,r,,,0.0033,,17.5051,,,"3,4",,MJD,
57128.1817,B1pg,,,0.0766,,18.4053,,,"3,4",,MJD,
57128.1817,g,,,0.0044,,18.3057,,,"3,4",,MJD,
57128.1817,r,,,0.0034,,17.5309,,,"3,4",,MJD,
57129.3726,r,,,0.0021,,17.0573,,,"3,4",,MJD,
57131.372,r,,,0.002,,17.0319,,,"3,4",,MJD,
57132.3513,r,,,0.0097,,17.5363,,,"3,4",,MJD,
57134.3652,r,,,0.0026,,17.5149,,,"3,4",,MJD,
57135.0116,r,,,0.0059,,17.1329,,,"3,4",,MJD,
57135.0259,r,,,0.0051,,17.1163,,,"3,4",,MJD,
57135.0404,i,,,0.0103,,16.7752,,,"3,4",,MJD,
57135.0404,r,,,0.0112,,17.2141,,,"3,4",,MJD,
57138.0033,B,,,0.0308,,18.7517,,,"3,4",,MJD,
57138.007,r,,,0.0141,,17.5783,,,"3,4",,MJD,
57138.0106,r,,,0.0118,,17.6066,,,"3,4",,MJD,
57138.0142,i,,,0.0183,,17.363,,,"3,4",,MJD,
57138.0179,B,,,0.0326,,18.8863,,,"3,4",,MJD,
57138.0215,r,,,0.0141,,17.5337,,,"3,4",,MJD,
