time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57375.5009954,G,,,,,21.5,,Gaia,4,,MJD,True
57409.4019907,G,,,0.2,,17.54,,Gaia,4,,MJD,
57409.403,G,,,0.0,,17.69,,GAIA,2,,MJD,
57409.477,G,,,0.0,,17.68,,GAIA,2,,MJD,
57418.182,B,,,0.0409,,18.2214,,,"3,5",,MJD,
57418.1855,B,,,0.0425,,18.1342,,,"3,5",,MJD,
57418.189,B,,,0.0429,,18.0657,,,"3,5",,MJD,
57418.1927,V,,,0.0364,,17.4541,,,"3,5",,MJD,
57418.1963,V,,,0.0354,,17.3967,,,"3,5",,MJD,
57418.1998,V,,,0.0459,,17.4974,,,"3,5",,MJD,
57418.209,r,,,0.0369,,17.2992,,,"3,5",,MJD,
57418.2126,r,,,0.0357,,17.3079,,,"3,5",,MJD,
57418.2161,r,,,0.0683,,17.8027,,,"3,5",,MJD,
57418.2198,i,,,,,18.5522,,,"3,5",,MJD,
57418.2234,i,,,,,18.2121,,,"3,5",,MJD,
57418.2269,i,,,,,18.3897,,,"3,5",,MJD,
57419.1898,B,,,0.0243,,17.9121,,,"3,5",,MJD,
57419.1933,B,,,0.0255,,17.8492,,,"3,5",,MJD,
57419.1969,B,,,0.0238,,17.7391,,,"3,5",,MJD,
57419.2006,V,,,0.0173,,17.1142,,,"3,5",,MJD,
57419.2041,V,,,0.0173,,17.1497,,,"3,5",,MJD,
57419.2077,V,,,0.0171,,17.2016,,,"3,5",,MJD,
57419.2114,r,,,0.0131,,17.1495,,,"3,5",,MJD,
57419.2149,r,,,0.0128,,17.1194,,,"3,5",,MJD,
57419.2185,r,,,0.013,,17.1779,,,"3,5",,MJD,
57419.2222,i,,,0.0196,,17.0305,,,"3,5",,MJD,
57419.2257,i,,,0.0198,,17.0412,,,"3,5",,MJD,
57419.2292,i,,,0.0187,,16.9636,,,"3,5",,MJD,
57420.1917,B,,,0.0233,,18.0248,,,"3,5",,MJD,
57420.1952,B,,,0.0221,,18.0171,,,"3,5",,MJD,
57420.1987,B,,,0.0229,,18.1048,,,"3,5",,MJD,
57420.2024,V,,,0.0158,,17.2723,,,"3,5",,MJD,
57420.206,V,,,0.0161,,17.2513,,,"3,5",,MJD,
57420.2095,V,,,0.0162,,17.3141,,,"3,5",,MJD,
57420.2179,r,,,0.0128,,17.1395,,,"3,5",,MJD,
