time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57376.1739931,G,,,,,21.5,,Gaia,4,,MJD,True
57435.1469907,G,,,0.2,,16.91,,Gaia,4,,MJD,
57435.148,G,,,0.0,,16.87,,GAIA,2,,MJD,
57435.222,G,,,0.0,,16.84,,GAIA,2,,MJD,
57444.1442,B,,,0.0197,,17.2729,,,"3,5",,MJD,
57444.1477,B,,,0.0199,,17.2445,,,"3,5",,MJD,
57444.1512,B,,,0.0206,,17.2444,,,"3,5",,MJD,
57444.155,V,,,0.0161,,16.5684,,,"3,5",,MJD,
57444.1585,V,,,0.0138,,16.5969,,,"3,5",,MJD,
57444.162,V,,,0.0128,,16.5811,,,"3,5",,MJD,
57444.1658,r,,,0.0092,,16.5167,,,"3,5",,MJD,
57444.1693,r,,,0.0094,,16.4945,,,"3,5",,MJD,
57444.1728,r,,,0.0098,,16.5133,,,"3,5",,MJD,
57444.1765,i,,,0.0119,,16.395,,,"3,5",,MJD,
57444.1801,i,,,0.0118,,16.4234,,,"3,5",,MJD,
57444.1836,i,,,0.0125,,16.4933,,,"3,5",,MJD,
57446.9722,B,,,0.0446,,17.2355,,,"3,5",,MJD,
57447.1442,B,,,,,18.8955,,,"3,5",,MJD,
57447.1477,B,,,,,18.9048,,,"3,5",,MJD,
57447.1513,B,,,,,18.6163,,,"3,5",,MJD,
57447.155,V,,,,,18.1605,,,"3,5",,MJD,
57447.1585,V,,,,,18.3116,,,"3,5",,MJD,
57447.162,V,,,0.0444,,16.8615,,,"3,5",,MJD,
57447.1658,r,,,0.0206,,16.5894,,,"3,5",,MJD,
57447.1693,r,,,0.0169,,16.4923,,,"3,5",,MJD,
57447.1728,r,,,0.0183,,16.4893,,,"3,5",,MJD,
57447.1766,i,,,0.021,,16.4465,,,"3,5",,MJD,
57447.1801,i,,,0.0248,,16.4298,,,"3,5",,MJD,
57447.1836,i,,,0.0185,,16.3819,,,"3,5",,MJD,
57448.1661,B,,,0.0203,,17.3088,,,"3,5",,MJD,
57448.1697,B,,,0.0192,,17.3567,,,"3,5",,MJD,
57448.1732,B,,,0.0199,,17.3672,,,"3,5",,MJD,
57448.1834,V,,,0.013,,16.4446,,,"3,5",,MJD,
57448.1869,V,,,0.013,,16.4355,,,"3,5",,MJD,
57448.1904,V,,,0.012,,16.4582,,,"3,5",,MJD,
57448.2005,r,,,0.009,,16.3233,,,"3,5",,MJD,
57448.204,r,,,0.0089,,16.3248,,,"3,5",,MJD,
57448.2075,r,,,0.0086,,16.3422,,,"3,5",,MJD,
57448.2112,i,,,0.011,,16.1,,,"3,5",,MJD,
57448.2148,i,,,0.0112,,16.0447,,,"3,5",,MJD,
57448.2183,i,,,0.0118,,15.9883,,,"3,5",,MJD,
57451.159,B,,,0.0132,,17.598,,,"3,5",,MJD,
57451.1625,B,,,0.013,,17.6268,,,"3,5",,MJD,
57451.166,B,,,0.0135,,17.6221,,,"3,5",,MJD,
57451.1698,V,,,0.0088,,16.7717,,,"3,5",,MJD,
57451.1733,V,,,0.0084,,16.7653,,,"3,5",,MJD,
57451.1768,V,,,0.0087,,16.7507,,,"3,5",,MJD,
57451.1806,r,,,0.0065,,16.6229,,,"3,5",,MJD,
57451.1841,r,,,0.0065,,16.6348,,,"3,5",,MJD,
57451.1876,r,,,0.0065,,16.5914,,,"3,5",,MJD,
57451.1913,i,,,0.0098,,16.553,,,"3,5",,MJD,
57451.1949,i,,,0.0097,,16.5414,,,"3,5",,MJD,
57451.1984,i,,,0.0097,,16.515,,,"3,5",,MJD,
57455.1265,B,,,0.0173,,17.7827,,,"3,5",,MJD,
57455.1301,B,,,0.0165,,17.7434,,,"3,5",,MJD,
57455.1336,B,,,0.0166,,17.7627,,,"3,5",,MJD,
57455.1373,V,,,0.0105,,16.8825,,,"3,5",,MJD,
57455.1409,V,,,0.0125,,16.8636,,,"3,5",,MJD,
57455.1444,V,,,0.0476,,17.0854,,,"3,5",,MJD,
57455.1481,r,,,0.029,,16.7648,,,"3,5",,MJD,
57455.1516,r,,,0.0281,,16.7096,,,"3,5",,MJD,
57455.1552,r,,,0.0085,,16.6628,,,"3,5",,MJD,
57455.1589,i,,,0.0175,,16.5186,,,"3,5",,MJD,
57455.1624,i,,,0.0181,,16.4539,,,"3,5",,MJD,
57455.166,i,,,0.0182,,16.5726,,,"3,5",,MJD,
57458.1137,B,,,0.0164,,17.7986,,,"3,5",,MJD,
57458.1172,B,,,0.0165,,17.8627,,,"3,5",,MJD,
57458.1207,B,,,0.0161,,17.8117,,,"3,5",,MJD,
57458.1244,V,,,0.0109,,16.9091,,,"3,5",,MJD,
57458.128,V,,,0.0109,,16.9154,,,"3,5",,MJD,
57458.1315,V,,,0.0109,,16.9074,,,"3,5",,MJD,
57458.1352,r,,,0.0078,,16.7083,,,"3,5",,MJD,
57458.1387,r,,,0.0079,,16.6565,,,"3,5",,MJD,
57458.1423,r,,,0.0079,,16.7325,,,"3,5",,MJD,
57458.146,i,,,0.0133,,16.8124,,,"3,5",,MJD,
57458.1495,i,,,0.0132,,16.8032,,,"3,5",,MJD,
57458.1531,i,,,0.0128,,16.773,,,"3,5",,MJD,
57459.1121,B,,,0.0166,,17.875,,,"3,5",,MJD,
57459.1156,B,,,0.0172,,17.8906,,,"3,5",,MJD,
57459.1191,B,,,0.0164,,17.8522,,,"3,5",,MJD,
57459.127,V,,,0.0104,,16.9597,,,"3,5",,MJD,
57459.1305,V,,,0.0108,,16.972,,,"3,5",,MJD,
57459.134,V,,,0.0108,,16.9305,,,"3,5",,MJD,
57459.1421,r,,,0.0078,,16.7289,,,"3,5",,MJD,
57459.1456,r,,,0.008,,16.6797,,,"3,5",,MJD,
57459.1492,r,,,0.0078,,16.7304,,,"3,5",,MJD,
57459.1568,i,,,0.011,,16.6987,,,"3,5",,MJD,
57459.1603,i,,,0.0106,,16.6947,,,"3,5",,MJD,
57459.1639,i,,,0.0106,,16.6931,,,"3,5",,MJD,
57460.0666,B,,,0.0165,,17.8323,,,"3,5",,MJD,
57460.0701,B,,,0.017,,17.8646,,,"3,5",,MJD,
57460.0736,B,,,0.0172,,17.9423,,,"3,5",,MJD,
57460.0819,V,,,0.0111,,16.9518,,,"3,5",,MJD,
57460.0854,V,,,0.0107,,16.9299,,,"3,5",,MJD,
57460.089,V,,,0.0108,,16.9727,,,"3,5",,MJD,
57460.097,r,,,0.008,,16.7327,,,"3,5",,MJD,
57460.1006,r,,,0.0079,,16.7407,,,"3,5",,MJD,
57460.1041,r,,,0.008,,16.7507,,,"3,5",,MJD,
57460.1123,i,,,0.0107,,16.4621,,,"3,5",,MJD,
57460.1158,i,,,0.0108,,16.5306,,,"3,5",,MJD,
57460.1194,i,,,0.0109,,16.473,,,"3,5",,MJD,
57460.8612,B,,,0.0362,,18.0859,,,"3,5",,MJD,
57465.047,i,,,0.0421,,17.0744,,,"3,5",,MJD,
57465.0487,i,,,0.0446,,17.0694,,,"3,5",,MJD,
57465.0511,B,,,0.0674,,18.5798,,,"3,5",,MJD,
57465.0531,B,,,0.0675,,18.6188,,,"3,5",,MJD,
57465.0551,B,,,0.0721,,18.5554,,,"3,5",,MJD,
57465.0572,V,,,0.0391,,17.544,,,"3,5",,MJD,
57465.0592,V,,,0.0342,,17.5867,,,"3,5",,MJD,
57465.0613,V,,,0.0399,,17.5367,,,"3,5",,MJD,
57465.0633,r,,,0.0292,,17.2232,,,"3,5",,MJD,
57465.0653,r,,,0.0321,,17.2454,,,"3,5",,MJD,
57465.0673,r,,,0.0306,,17.2532,,,"3,5",,MJD,
57465.0694,i,,,0.0296,,17.2205,,,"3,5",,MJD,
57465.0714,i,,,0.033,,17.184,,,"3,5",,MJD,
57465.0735,i,,,0.0305,,17.1582,,,"3,5",,MJD,
57465.0761,B,,,0.0605,,18.4909,,,"3,5",,MJD,
57465.0781,B,,,0.0558,,18.5976,,,"3,5",,MJD,
57465.0801,B,,,0.0538,,18.5215,,,"3,5",,MJD,
57465.0822,V,,,0.0358,,17.544,,,"3,5",,MJD,
57465.0842,V,,,0.0302,,17.5274,,,"3,5",,MJD,
57465.0862,V,,,0.0352,,17.4681,,,"3,5",,MJD,
57465.0883,r,,,0.0308,,17.2421,,,"3,5",,MJD,
57465.0903,r,,,0.0307,,17.1854,,,"3,5",,MJD,
57465.0923,r,,,0.0351,,17.2235,,,"3,5",,MJD,
57465.0944,i,,,0.0376,,17.0422,,,"3,5",,MJD,
57465.0964,i,,,0.0376,,17.0995,,,"3,5",,MJD,
57465.0984,i,,,0.035,,17.06,,,"3,5",,MJD,
57465.1006,i,,,0.0338,,16.9839,,,"3,5",,MJD,
57470.1233,B,,,,,19.7312,,,"3,5",,MJD,
57470.1268,B,,,,,19.3873,,,"3,5",,MJD,
57470.1304,B,,,,,18.8151,,,"3,5",,MJD,
57470.1341,V,,,,,18.513,,,"3,5",,MJD,
57470.1376,V,,,0.0369,,17.3917,,,"3,5",,MJD,
57470.1412,V,,,0.0358,,17.4103,,,"3,5",,MJD,
57470.1449,r,,,0.0198,,17.1413,,,"3,5",,MJD,
57470.1484,r,,,0.02,,17.1084,,,"3,5",,MJD,
57470.1519,r,,,0.0228,,17.0869,,,"3,5",,MJD,
57470.1558,i,,,0.026,,16.7694,,,"3,5",,MJD,
57470.1593,i,,,0.028,,16.9252,,,"3,5",,MJD,
57470.1628,i,,,0.0279,,16.8996,,,"3,5",,MJD,
57471.1289,B,,,,,19.8106,,,"3,5",,MJD,
57471.1324,B,,,,,19.6573,,,"3,5",,MJD,
57471.136,B,,,,,19.4628,,,"3,5",,MJD,
57471.1397,V,,,,,20.1018,,,"3,5",,MJD,
57471.1432,V,,,0.0343,,17.5331,,,"3,5",,MJD,
57471.1468,V,,,0.0315,,17.4333,,,"3,5",,MJD,
57471.1505,r,,,0.0201,,16.9471,,,"3,5",,MJD,
57471.154,r,,,0.0199,,16.9181,,,"3,5",,MJD,
57471.1575,r,,,0.019,,16.9267,,,"3,5",,MJD,
57471.1615,i,,,0.0162,,16.5008,,,"3,5",,MJD,
