time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57544.0419907,G,,,,,21.5,,Gaia,4,,MJD,True
57583.2579977,G,,,0.2,,18.62,,Gaia,4,,MJD,
57583.259,G,,,0.0,,18.63,,GAIA,2,,MJD,
57583.333,G,,,0.0,,18.62,,GAIA,2,,MJD,
57632.490,G,,,0.0,,20.00,,GAIA,2,,MJD,
57632.564,G,,,0.0,,19.97,,GAIA,2,,MJD,
57632.740,G,,,0.0,,19.93,,GAIA,2,,MJD,
57632.814,G,,,0.0,,19.99,,GAIA,2,,MJD,
57633.064,G,,,0.0,,20.01,,GAIA,2,,MJD,
57772.2408,r,,,,,18.8582,,,"3,5",,MJD,
57814.1296,V,,,,,20.2294,,,"3,5",,MJD,
57814.1362,R,,,,,20.3139,,,"3,5",,MJD,
57814.1429,I,,,,,18.826,,,"3,5",,MJD,
57833.0908,B,,,,,20.1474,,,"3,5",,MJD,
57833.0975,V,,,,,20.1795,,,"3,5",,MJD,
57833.1042,R,,,,,20.4368,,,"3,5",,MJD,
57833.1109,I,,,,,18.9776,,,"3,5",,MJD,
57836.071,V,,,,,18.8428,,,"3,5",,MJD,
57836.0732,V,,,,,19.0882,,,"3,5",,MJD,
57836.0732,V,,,,,20.2712,,,"3,5",,MJD,
57836.0754,V,,,,,18.9775,,,"3,5",,MJD,
57836.0776,R,,,,,19.017,,,"3,5",,MJD,
57836.0799,R,,,,,18.7293,,,"3,5",,MJD,
57836.0799,R,,,,,19.9963,,,"3,5",,MJD,
57836.0821,R,,,,,18.7917,,,"3,5",,MJD,
57836.0843,I,,,,,18.012,,,"3,5",,MJD,
57836.0866,I,,,,,18.0118,,,"3,5",,MJD,
57836.0866,I,,,,,19.1524,,,"3,5",,MJD,
57836.0888,I,,,,,17.5269,,,"3,5",,MJD,
57840.0552,B,,,,,20.3651,,,"3,5",,MJD,
57840.0607,V,,,,,20.2769,,,"3,5",,MJD,
57840.0674,R,,,,,20.1175,,,"3,5",,MJD,
57840.0741,I,,,,,18.8388,,,"3,5",,MJD,
57841.051,B,,,,,19.101,,,"3,5",,MJD,
57841.06,V,,,,,19.6065,,,"3,5",,MJD,
57841.0667,R,,,,,20.2737,,,"3,5",,MJD,
57841.0712,I,,,,,17.9999,,,"3,5",,MJD,
57841.0735,I,,,,,18.0616,,,"3,5",,MJD,
57841.0757,I,,,,,18.0509,,,"3,5",,MJD,
57846.0753,B,,,,,19.7515,,,"3,5",,MJD,
57846.082,V,,,,,20.162,,,"3,5",,MJD,
57846.0887,R,,,,,21.3217,,,"3,5",,MJD,
57846.0976,I,,,,,18.3173,,,"3,5",,MJD,
57848.0328,B,,,,,19.7981,,,"3,5",,MJD,
57848.0395,V,,,,,19.6586,,,"3,5",,MJD,
57848.0462,R,,,,,19.9304,,,"3,5",,MJD,
57848.0508,I,,,,,17.9328,,,"3,5",,MJD,
57848.053,I,,,,,17.9398,,,"3,5",,MJD,
57848.053,I,,,,,18.8527,,,"3,5",,MJD,
57848.0552,I,,,,,17.8051,,,"3,5",,MJD,
