time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57632.0429977,G,,,,,21.5,,Gaia,5,,MJD,True
57771.3449884,G,,,0.2,,18.71,,Gaia,5,,MJD,
57771.346,G,,,0.0,,18.74,,GAIA,2,,MJD,
57771.522,G,,,0.0,,18.76,,GAIA,2,,MJD,
57794.5296140034,i,,,0.0858261,,19.5723,,Pan-STARRS1,3,,MJD,
57794.53,i,,,0.09,,19.57,,PS1,5,,MJD,
57794.5392753117,i,,,0.0675144,,19.469,,Pan-STARRS1,3,,MJD,
57794.5489323465,i,,,0.175206,,19.5161,,Pan-STARRS1,3,,MJD,
57794.5585765018,i,,,0.0854918,,19.5131,,Pan-STARRS1,3,,MJD,
57804.813,G,,,0.0,,19.53,,GAIA,2,,MJD,
57804.887,G,,,0.0,,19.54,,GAIA,2,,MJD,
57820.069,G,,,0.0,,19.83,,GAIA,2,,MJD,
57820.143,G,,,0.0,,19.95,,GAIA,2,,MJD,
57820.319,G,,,0.0,,19.80,,GAIA,2,,MJD,
