time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57855.1329977,G,,,,,21.5,,Gaia,3,,MJD,True
57855.3089931,G,,,0.2,,18.65,,Gaia,3,,MJD,
57855.310,G,,,0.0,,18.70,,GAIA,2,,MJD,
57855.560,G,,,0.0,,18.64,,GAIA,2,,MJD,
57855.634,G,,,0.0,,18.64,,GAIA,2,,MJD,
57855.810,G,,,0.0,,18.67,,GAIA,2,,MJD,
57855.884,G,,,0.0,,18.65,,GAIA,2,,MJD,
57856.060,G,,,0.0,,18.62,,GAIA,2,,MJD,
57856.311,G,,,0.0,,18.60,,GAIA,2,,MJD,
57856.561,G,,,0.0,,18.58,,GAIA,2,,MJD,
57856.811,G,,,0.0,,18.58,,GAIA,2,,MJD,
57857.061,G,,,0.0,,18.55,,GAIA,2,,MJD,
57857.311,G,,,0.0,,18.52,,GAIA,2,,MJD,
57857.385,G,,,0.0,,18.51,,GAIA,2,,MJD,
57857.812,G,,,0.0,,18.51,,GAIA,2,,MJD,
57858.062,G,,,0.0,,18.54,,GAIA,2,,MJD,
57858.136,G,,,0.0,,18.48,,GAIA,2,,MJD,
57858.312,G,,,0.0,,18.51,,GAIA,2,,MJD,
57858.386,G,,,0.0,,18.51,,GAIA,2,,MJD,
57902.844,G,,,0.0,,20.57,,GAIA,2,,MJD,
