time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57835.5619907,G,,,,,21.5,,Gaia,3,,MJD,True
57874.5459954,G,,,0.2,,18.83,,Gaia,3,,MJD,
57874.547,G,,,0.0,,18.89,,GAIA,2,,MJD,
57874.621,G,,,0.0,,18.86,,GAIA,2,,MJD,
57874.798,G,,,0.0,,18.87,,GAIA,2,,MJD,
57874.872,G,,,0.0,,18.85,,GAIA,2,,MJD,
57889.305,G,,,0.0,,18.93,,GAIA,2,,MJD,
57889.379,G,,,0.0,,18.86,,GAIA,2,,MJD,
57889.556,G,,,0.0,,18.93,,GAIA,2,,MJD,
57889.630,G,,,0.0,,18.96,,GAIA,2,,MJD,
57889.806,G,,,0.0,,18.95,,GAIA,2,,MJD,
57958.559,G,,,0.0,,19.58,,GAIA,2,,MJD,
57958.633,G,,,0.0,,19.57,,GAIA,2,,MJD,
57958.809,G,,,0.0,,19.50,,GAIA,2,,MJD,
57958.883,G,,,0.0,,19.52,,GAIA,2,,MJD,
