time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57907.306,G,,,0.0,,18.97,,GAIA,2,,MJD,
57907.482,G,,,0.0,,18.94,,GAIA,2,,MJD,
57907.556,G,,,0.0,,18.93,,GAIA,2,,MJD,
57907.732,G,,,0.0,,18.94,,GAIA,2,,MJD,
57907.806,G,,,0.0,,18.96,,GAIA,2,,MJD,
57907.982,G,,,0.0,,18.92,,GAIA,2,,MJD,
57914.737,G,,,0.0,,18.73,,GAIA,2,,MJD,
57914.811,G,,,0.0,,18.72,,GAIA,2,,MJD,
57914.987,G,,,0.0,,18.67,,GAIA,2,,MJD,
57915.061,G,,,0.0,,18.72,,GAIA,2,,MJD,
57915.311,G,,,0.0,,18.76,,GAIA,2,,MJD,
57955.542,G,,,0.0,,20.37,,GAIA,2,,MJD,
