time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57939.1479977,G,,,,,21.5,,Gaia,4,,MJD,True
57966.6479977,G,,,0.2,,18.89,,Gaia,4,,MJD,
57966.649,G,,,0.0,,18.94,,GAIA,3,,MJD,
57966.723,G,,,0.0,,18.96,,GAIA,3,,MJD,
58012.708,G,,,0.0,,18.95,,GAIA,3,,MJD,
58012.884,G,,,0.0,,18.83,,GAIA,3,,MJD,
58039.885,G,,,0.0,,19.30,,GAIA,3,,MJD,
58039.959,G,,,0.0,,19.30,,GAIA,3,,MJD,
58073.121,G,,,0.0,,19.83,,GAIA,3,,MJD,
58127.593,G,,,0.0,,20.50,,GAIA,3,,MJD,
