time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57973.575277496,i,,,0.0396539,,19.1445,,Pan-STARRS1,2,,MJD,
57973.575277496,i,,,0.045473,,19.1593,,Pan-STARRS1,2,,MJD,
57973.575277496,i,,,0.046148,,19.1632,,Pan-STARRS1,2,,MJD,
57973.575277496,i,,,0.0472489,,19.1646,,Pan-STARRS1,2,,MJD,
57973.5863362169,i,,,0.0472265,,19.14,,Pan-STARRS1,2,,MJD,
57973.5863362169,i,,,0.0556502,,19.1443,,Pan-STARRS1,2,,MJD,
57973.5863362169,i,,,0.0541947,,19.1639,,Pan-STARRS1,2,,MJD,
57973.5863362169,i,,,0.0533425,,19.164,,Pan-STARRS1,2,,MJD,
57973.5974409394,i,,,0.0358036,,19.1561,,Pan-STARRS1,2,,MJD,
57973.5974409394,i,,,0.0324227,,19.1643,,Pan-STARRS1,2,,MJD,
57973.5974409394,i,,,0.0361809,,19.1676,,Pan-STARRS1,2,,MJD,
57973.5974409394,i,,,0.0365115,,19.1849,,Pan-STARRS1,2,,MJD,
57973.6085211853,i,,,0.0344952,,19.2342,,Pan-STARRS1,2,,MJD,
57973.6085211853,i,,,0.0325375,,19.2389,,Pan-STARRS1,2,,MJD,
57973.6085211853,i,,,0.0353832,,19.2539,,Pan-STARRS1,2,,MJD,
57973.6085211853,i,,,0.0358561,,19.2723,,Pan-STARRS1,2,,MJD,
57987.440,G,,,0.0,,18.90,,GAIA,3,,MJD,
57987.514,G,,,0.0,,18.88,,GAIA,3,,MJD,
58010.264,G,,,0.0,,19.92,,GAIA,3,,MJD,
