time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57950.7639931,G,,,,,21.5,,Gaia,4,,MJD,True
58028.53,G,,,0.2,,18.4,,Gaia,4,,MJD,
58028.532,G,,,0.0,,18.48,,GAIA,3,,MJD,
58028.606,G,,,0.0,,18.46,,GAIA,3,,MJD,
58028.856,G,,,0.0,,18.41,,GAIA,3,,MJD,
58029.106,G,,,0.0,,18.49,,GAIA,3,,MJD,
58040.861,G,,,0.0,,18.80,,GAIA,3,,MJD,
58041.037,G,,,0.0,,18.82,,GAIA,3,,MJD,
58041.111,G,,,0.0,,18.80,,GAIA,3,,MJD,
58041.287,G,,,0.0,,18.86,,GAIA,3,,MJD,
58078.764,G,,,0.0,,19.57,,GAIA,3,,MJD,
58078.838,G,,,0.0,,19.61,,GAIA,3,,MJD,
