time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58212.8109954,G,,,,,21.5,,Gaia,3,,MJD,True
58260.5429977,G,,,0.2,,17.3,,Gaia,3,,MJD,
58260.545,G,,,0.0,,17.44,,GAIA,2,,MJD,
58260.721,G,,,0.0,,17.43,,GAIA,2,,MJD,
58260.795,G,,,0.0,,17.39,,GAIA,2,,MJD,
58260.971,G,,,0.0,,17.40,,GAIA,2,,MJD,
58261.045,G,,,0.0,,17.35,,GAIA,2,,MJD,
58261.221,G,,,0.0,,17.40,,GAIA,2,,MJD,
58261.295,G,,,0.0,,17.38,,GAIA,2,,MJD,
58262.222,G,,,0.0,,17.35,,GAIA,2,,MJD,
58267.225,G,,,0.0,,17.31,,GAIA,2,,MJD,
58267.475,G,,,0.0,,17.32,,GAIA,2,,MJD,
58267.549,G,,,0.0,,17.31,,GAIA,2,,MJD,
58267.725,G,,,0.0,,17.31,,GAIA,2,,MJD,
58267.799,G,,,0.0,,17.31,,GAIA,2,,MJD,
58268.225,G,,,0.0,,17.33,,GAIA,2,,MJD,
58268.299,G,,,0.0,,17.28,,GAIA,2,,MJD,
58268.475,G,,,0.0,,17.34,,GAIA,2,,MJD,
58268.549,G,,,0.0,,17.33,,GAIA,2,,MJD,
58268.726,G,,,0.0,,17.35,,GAIA,2,,MJD,
58268.800,G,,,0.0,,17.34,,GAIA,2,,MJD,
