time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57075.434,G,,,0.0,,13.34,,GAIA,2,,MJD,
57098.362,G,,,0.0,,13.36,,GAIA,2,,MJD,
57128.102,G,,,0.0,,13.52,,GAIA,2,,MJD,
57128.176,G,,,0.0,,13.43,,GAIA,2,,MJD,
57276.503,G,,,0.0,,13.59,,GAIA,2,,MJD,
57301.671,G,,,0.0,,13.46,,GAIA,2,,MJD,
57301.745,G,,,0.0,,13.46,,GAIA,2,,MJD,
57329.660,G,,,0.0,,13.34,,GAIA,2,,MJD,
57450.733,G,,,0.0,,13.41,,GAIA,2,,MJD,
57478.154,G,,,0.0,,13.46,,GAIA,2,,MJD,
57478.228,G,,,0.0,,13.45,,GAIA,2,,MJD,
57503.723,G,,,0.0,,13.57,,GAIA,2,,MJD,
57503.899,G,,,0.0,,13.58,,GAIA,2,,MJD,
57652.225,G,,,0.0,,13.57,,GAIA,2,,MJD,
57652.299,G,,,0.0,,13.56,,GAIA,2,,MJD,
57681.534,G,,,0.0,,13.44,,GAIA,2,,MJD,
57704.957,G,,,0.0,,13.36,,GAIA,2,,MJD,
57705.031,G,,,0.0,,13.36,,GAIA,2,,MJD,
57826.516,G,,,0.0,,13.53,,GAIA,2,,MJD,
57826.590,G,,,0.0,,13.54,,GAIA,2,,MJD,
57879.253,G,,,0.0,,13.54,,GAIA,2,,MJD,
57979.113,G,,,0.0,,13.53,,GAIA,2,,MJD,
57979.187,G,,,0.0,,13.52,,GAIA,2,,MJD,
57979.363,G,,,0.0,,13.52,,GAIA,2,,MJD,
57979.437,G,,,0.0,,13.53,,GAIA,2,,MJD,
57987.691,G,,,0.0,,13.60,,GAIA,2,,MJD,
57987.867,G,,,0.0,,13.60,,GAIA,2,,MJD,
57987.941,G,,,0.0,,13.61,,GAIA,2,,MJD,
58028.079,G,,,0.0,,13.61,,GAIA,2,,MJD,
58028.153,G,,,0.0,,13.58,,GAIA,2,,MJD,
58062.132,G,,,0.0,,13.36,,GAIA,2,,MJD,
58062.308,G,,,0.0,,13.38,,GAIA,2,,MJD,
58079.562,G,,,0.0,,13.35,,GAIA,2,,MJD,
58079.636,G,,,0.0,,13.35,,GAIA,2,,MJD,
58079.812,G,,,0.0,,13.34,,GAIA,2,,MJD,
58079.886,G,,,0.0,,13.35,,GAIA,2,,MJD,
58202.565,G,,,0.0,,13.56,,GAIA,2,,MJD,
58237.616,G,,,0.0,,13.64,,GAIA,2,,MJD,
58254.047,G,,,0.0,,13.62,,GAIA,2,,MJD,
58352.653,G,,,0.0,,12.54,,GAIA,2,,MJD,
58352.727,G,,,0.0,,12.54,,GAIA,2,,MJD,
58368.406,G,,,0.0,,12.71,,GAIA,2,,MJD,
58368.480,G,,,0.0,,12.70,,GAIA,2,,MJD,
58404.126,G,,,0.0,,12.82,,GAIA,2,,MJD,
58446.677,G,,,0.0,,12.71,,GAIA,2,,MJD,
58446.928,G,,,0.0,,12.72,,GAIA,2,,MJD,
58447.104,G,,,0.0,,12.73,,GAIA,2,,MJD,
58447.178,G,,,0.0,,12.73,,GAIA,2,,MJD,
58447.354,G,,,0.0,,12.72,,GAIA,2,,MJD,
58447.604,G,,,0.0,,12.72,,GAIA,2,,MJD,
58447.678,G,,,0.0,,12.72,,GAIA,2,,MJD,
58447.854,G,,,0.0,,12.72,,GAIA,2,,MJD,
58447.928,G,,,0.0,,12.74,,GAIA,2,,MJD,
58448.104,G,,,0.0,,12.75,,GAIA,2,,MJD,
58448.178,G,,,0.0,,12.74,,GAIA,2,,MJD,
58448.679,G,,,0.0,,12.74,,GAIA,2,,MJD,
58448.855,G,,,0.0,,12.75,,GAIA,2,,MJD,
58448.929,G,,,0.0,,12.75,,GAIA,2,,MJD,
58449.105,G,,,0.0,,12.74,,GAIA,2,,MJD,
58449.179,G,,,0.0,,12.75,,GAIA,2,,MJD,
58449.355,G,,,0.0,,12.74,,GAIA,2,,MJD,
58449.429,G,,,0.0,,12.75,,GAIA,2,,MJD,
58449.679,G,,,0.0,,12.76,,GAIA,2,,MJD,
58449.855,G,,,0.0,,12.74,,GAIA,2,,MJD,
58449.929,G,,,0.0,,12.74,,GAIA,2,,MJD,
58450.106,G,,,0.0,,12.72,,GAIA,2,,MJD,
58450.180,G,,,0.0,,12.73,,GAIA,2,,MJD,
58526.947,G,,,0.0,,12.99,,GAIA,2,,MJD,
58527.123,G,,,0.0,,12.97,,GAIA,2,,MJD,
58527.197,G,,,0.0,,12.96,,GAIA,2,,MJD,
58527.373,G,,,0.0,,12.96,,GAIA,2,,MJD,
58543.630,G,,,0.0,,13.06,,GAIA,2,,MJD,
