time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58376.430,G,,,0.0,,17.55,,GAIA,1,,MJD,
58376.606,G,,,0.0,,17.56,,GAIA,1,,MJD,
58376.680,G,,,0.0,,17.53,,GAIA,1,,MJD,
58376.856,G,,,0.0,,17.53,,GAIA,1,,MJD,
58376.930,G,,,0.0,,17.51,,GAIA,1,,MJD,
58377.106,G,,,0.0,,17.49,,GAIA,1,,MJD,
58377.180,G,,,0.0,,17.48,,GAIA,1,,MJD,
58377.356,G,,,0.0,,17.50,,GAIA,1,,MJD,
58377.430,G,,,0.0,,17.48,,GAIA,1,,MJD,
58377.680,G,,,0.0,,17.48,,GAIA,1,,MJD,
58473.688,G,,,0.0,,19.50,,GAIA,1,,MJD,
58473.762,G,,,0.0,,19.47,,GAIA,1,,MJD,
58490.266,G,,,0.0,,19.80,,GAIA,1,,MJD,
58522.249,G,,,0.0,,20.45,,GAIA,1,,MJD,
