time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58383.6899884,G,,,,,21.5,,Gaia,2,,MJD,True
58475.4309954,G,,,0.2,,18.51,,Gaia,2,,MJD,
58475.432,G,,,0.0,,18.51,,GAIA,1,,MJD,
58475.506,G,,,0.0,,18.51,,GAIA,1,,MJD,
58475.682,G,,,0.0,,18.52,,GAIA,1,,MJD,
58481.5532292,r,,,0.17,,18.77,,P48,2,,MJD,
58486.688,G,,,0.0,,19.14,,GAIA,1,,MJD,
58486.762,G,,,0.0,,19.13,,GAIA,1,,MJD,
58492.5335069,g,,,0.14,,19.59,,P48,2,,MJD,
58522.166,G,,,0.0,,20.37,,GAIA,1,,MJD,
