time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58509.8489931,G,,,,,21.5,,Gaia,2,,MJD,True
58606.1379977,G,,,0.2,,18.81,,Gaia,2,,MJD,
58606.139,G,,,0.0,,18.80,,GAIA,1,,MJD,
58606.213,G,,,0.0,,18.80,,GAIA,1,,MJD,
58606.389,G,,,0.0,,18.73,,GAIA,1,,MJD,
58616.144,G,,,0.0,,18.22,,GAIA,1,,MJD,
58616.218,G,,,0.0,,18.25,,GAIA,1,,MJD,
58656.684,G,,,0.0,,18.81,,GAIA,1,,MJD,
58656.861,G,,,0.0,,18.78,,GAIA,1,,MJD,
58681.6259954,orange,,,,,18.11,,ATLAS1,2,,MJD,True
58691.6039931,orange,,,0.166,,18.86,,ATLAS1,2,,MJD,
58694.691,G,,,0.0,,19.08,,GAIA,1,,MJD,
58694.765,G,,,0.0,,19.06,,GAIA,1,,MJD,
