time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56894.229,G,,,0.0,,18.31,,GAIA,1,,MJD,
57065.414,G,,,0.0,,18.25,,GAIA,1,,MJD,
57065.488,G,,,0.0,,18.29,,GAIA,1,,MJD,
57254.178,G,,,0.0,,18.53,,GAIA,1,,MJD,
57254.252,G,,,0.0,,18.54,,GAIA,1,,MJD,
57391.473,G,,,0.0,,18.90,,GAIA,1,,MJD,
57426.203,G,,,0.0,,18.85,,GAIA,1,,MJD,
57426.277,G,,,0.0,,18.85,,GAIA,1,,MJD,
57438.283,G,,,0.0,,18.85,,GAIA,1,,MJD,
57438.459,G,,,0.0,,18.89,,GAIA,1,,MJD,
57438.533,G,,,0.0,,18.86,,GAIA,1,,MJD,
57531.770,G,,,0.0,,18.88,,GAIA,1,,MJD,
57531.844,G,,,0.0,,18.89,,GAIA,1,,MJD,
57532.020,G,,,0.0,,19.03,,GAIA,1,,MJD,
57532.094,G,,,0.0,,18.88,,GAIA,1,,MJD,
57537.347,G,,,0.0,,18.91,,GAIA,1,,MJD,
57537.523,G,,,0.0,,19.05,,GAIA,1,,MJD,
57537.597,G,,,0.0,,18.88,,GAIA,1,,MJD,
57537.773,G,,,0.0,,18.94,,GAIA,1,,MJD,
57537.847,G,,,0.0,,18.91,,GAIA,1,,MJD,
57538.024,G,,,0.0,,18.89,,GAIA,1,,MJD,
57578.746,G,,,0.0,,18.83,,GAIA,1,,MJD,
57578.820,G,,,0.0,,18.82,,GAIA,1,,MJD,
57619.040,G,,,0.0,,18.94,,GAIA,1,,MJD,
57619.216,G,,,0.0,,18.99,,GAIA,1,,MJD,
57619.290,G,,,0.0,,18.86,,GAIA,1,,MJD,
57619.466,G,,,0.0,,18.84,,GAIA,1,,MJD,
57619.540,G,,,0.0,,18.84,,GAIA,1,,MJD,
57625.470,G,,,0.0,,18.87,,GAIA,1,,MJD,
57625.720,G,,,0.0,,18.85,,GAIA,1,,MJD,
57625.794,G,,,0.0,,18.88,,GAIA,1,,MJD,
57625.970,G,,,0.0,,18.86,,GAIA,1,,MJD,
57626.044,G,,,0.0,,18.89,,GAIA,1,,MJD,
57719.537,G,,,0.0,,19.03,,GAIA,1,,MJD,
57719.611,G,,,0.0,,19.05,,GAIA,1,,MJD,
57732.543,G,,,0.0,,19.05,,GAIA,1,,MJD,
57732.617,G,,,0.0,,19.07,,GAIA,1,,MJD,
57766.773,G,,,0.0,,18.97,,GAIA,1,,MJD,
57766.847,G,,,0.0,,18.97,,GAIA,1,,MJD,
57903.119,G,,,0.0,,18.66,,GAIA,1,,MJD,
57903.193,G,,,0.0,,18.65,,GAIA,1,,MJD,
57920.872,G,,,0.0,,18.60,,GAIA,1,,MJD,
57920.946,G,,,0.0,,18.62,,GAIA,1,,MJD,
58092.889,G,,,0.0,,18.43,,GAIA,1,,MJD,
58112.892,G,,,0.0,,18.45,,GAIA,1,,MJD,
58142.129,G,,,0.0,,18.54,,GAIA,1,,MJD,
58142.203,G,,,0.0,,18.56,,GAIA,1,,MJD,
58277.665,G,,,0.0,,18.52,,GAIA,1,,MJD,
58301.661,G,,,0.0,,18.51,,GAIA,1,,MJD,
58301.735,G,,,0.0,,18.50,,GAIA,1,,MJD,
58330.648,G,,,0.0,,18.52,,GAIA,1,,MJD,
58330.722,G,,,0.0,,18.52,,GAIA,1,,MJD,
58492.432,G,,,0.0,,18.34,,GAIA,1,,MJD,
58517.178,G,,,0.0,,18.26,,GAIA,1,,MJD,
58517.252,G,,,0.0,,18.26,,GAIA,1,,MJD,
58652.962,G,,,0.0,,18.15,,GAIA,1,,MJD,
58653.036,G,,,0.0,,18.18,,GAIA,1,,MJD,
58702.548,G,,,0.0,,18.32,,GAIA,1,,MJD,
58702.622,G,,,0.0,,18.31,,GAIA,1,,MJD,
