time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57041.935,G,,,0.0,,20.77,,GAIA,1,,MJD,
57046.864,G,,,0.0,,20.78,,GAIA,1,,MJD,
57047.114,G,,,0.0,,20.72,,GAIA,1,,MJD,
57374.209,G,,,0.0,,20.78,,GAIA,1,,MJD,
57419.723,G,,,0.0,,20.79,,GAIA,1,,MJD,
57420.149,G,,,0.0,,20.91,,GAIA,1,,MJD,
57420.223,G,,,0.0,,20.73,,GAIA,1,,MJD,
57420.399,G,,,0.0,,20.86,,GAIA,1,,MJD,
57421.224,G,,,0.0,,20.78,,GAIA,1,,MJD,
57421.400,G,,,0.0,,20.81,,GAIA,1,,MJD,
57421.650,G,,,0.0,,20.86,,GAIA,1,,MJD,
57421.974,G,,,0.0,,20.89,,GAIA,1,,MJD,
57522.380,G,,,0.0,,20.95,,GAIA,1,,MJD,
57561.611,G,,,0.0,,20.81,,GAIA,1,,MJD,
57697.603,G,,,0.0,,20.76,,GAIA,1,,MJD,
57733.572,G,,,0.0,,20.81,,GAIA,1,,MJD,
57749.252,G,,,0.0,,20.77,,GAIA,1,,MJD,
57866.006,G,,,0.0,,20.87,,GAIA,1,,MJD,
57945.217,G,,,0.0,,20.76,,GAIA,1,,MJD,
57945.718,G,,,0.0,,20.70,,GAIA,1,,MJD,
57945.894,G,,,0.0,,20.95,,GAIA,1,,MJD,
57958.725,G,,,0.0,,20.81,,GAIA,1,,MJD,
57958.975,G,,,0.0,,20.84,,GAIA,1,,MJD,
58017.719,G,,,0.0,,20.76,,GAIA,1,,MJD,
58043.895,G,,,0.0,,20.69,,GAIA,1,,MJD,
58111.919,G,,,0.0,,20.74,,GAIA,1,,MJD,
58124.100,G,,,0.0,,20.71,,GAIA,1,,MJD,
58331.521,G,,,0.0,,20.93,,GAIA,1,,MJD,
58331.771,G,,,0.0,,20.88,,GAIA,1,,MJD,
58332.272,G,,,0.0,,20.74,,GAIA,1,,MJD,
58332.448,G,,,0.0,,20.79,,GAIA,1,,MJD,
58332.698,G,,,0.0,,20.88,,GAIA,1,,MJD,
58332.772,G,,,0.0,,20.80,,GAIA,1,,MJD,
58333.022,G,,,0.0,,20.71,,GAIA,1,,MJD,
58333.272,G,,,0.0,,20.84,,GAIA,1,,MJD,
58334.273,G,,,0.0,,20.62,,GAIA,1,,MJD,
58334.523,G,,,0.0,,20.89,,GAIA,1,,MJD,
58334.699,G,,,0.0,,20.80,,GAIA,1,,MJD,
58335.450,G,,,0.0,,20.88,,GAIA,1,,MJD,
58336.024,G,,,0.0,,20.96,,GAIA,1,,MJD,
58336.451,G,,,0.0,,20.87,,GAIA,1,,MJD,
58337.201,G,,,0.0,,20.87,,GAIA,1,,MJD,
58337.275,G,,,0.0,,20.87,,GAIA,1,,MJD,
58337.701,G,,,0.0,,20.85,,GAIA,1,,MJD,
58337.775,G,,,0.0,,20.88,,GAIA,1,,MJD,
58498.462,G,,,0.0,,20.75,,GAIA,1,,MJD,
58653.332,G,,,0.0,,20.52,,GAIA,1,,MJD,
58682.564,G,,,0.0,,19.64,,GAIA,1,,MJD,
58682.638,G,,,0.0,,19.59,,GAIA,1,,MJD,
58682.814,G,,,0.0,,19.59,,GAIA,1,,MJD,
58682.888,G,,,0.0,,19.63,,GAIA,1,,MJD,
58731.021,G,,,0.0,,19.68,,GAIA,1,,MJD,
58731.197,G,,,0.0,,19.77,,GAIA,1,,MJD,
58742.959,G,,,0.0,,19.71,,GAIA,1,,MJD,
58743.033,G,,,0.0,,19.69,,GAIA,1,,MJD,
58782.806,G,,,0.0,,19.80,,GAIA,1,,MJD,
58811.609,G,,,0.0,,20.00,,GAIA,1,,MJD,
58811.683,G,,,0.0,,19.92,,GAIA,1,,MJD,
