time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56879.969,G,,,0.0,,18.98,,GAIA,1,,MJD,
56880.145,G,,,0.0,,19.00,,GAIA,1,,MJD,
56880.219,G,,,0.0,,19.02,,GAIA,1,,MJD,
56880.395,G,,,0.0,,19.00,,GAIA,1,,MJD,
56880.469,G,,,0.0,,19.00,,GAIA,1,,MJD,
56880.645,G,,,0.0,,19.03,,GAIA,1,,MJD,
56880.895,G,,,0.0,,19.00,,GAIA,1,,MJD,
56880.969,G,,,0.0,,19.00,,GAIA,1,,MJD,
56881.146,G,,,0.0,,19.00,,GAIA,1,,MJD,
56881.220,G,,,0.0,,19.02,,GAIA,1,,MJD,
56881.396,G,,,0.0,,19.02,,GAIA,1,,MJD,
56893.979,G,,,0.0,,19.00,,GAIA,1,,MJD,
56967.612,G,,,0.0,,19.09,,GAIA,1,,MJD,
56967.788,G,,,0.0,,19.10,,GAIA,1,,MJD,
57035.494,G,,,0.0,,19.12,,GAIA,1,,MJD,
57057.239,G,,,0.0,,19.12,,GAIA,1,,MJD,
57057.313,G,,,0.0,,19.09,,GAIA,1,,MJD,
57097.010,G,,,0.0,,19.09,,GAIA,1,,MJD,
57097.187,G,,,0.0,,19.13,,GAIA,1,,MJD,
57112.513,G,,,0.0,,19.16,,GAIA,1,,MJD,
57176.387,G,,,0.0,,19.24,,GAIA,1,,MJD,
57176.461,G,,,0.0,,19.21,,GAIA,1,,MJD,
57212.188,G,,,0.0,,19.16,,GAIA,1,,MJD,
57212.364,G,,,0.0,,19.14,,GAIA,1,,MJD,
57275.676,G,,,0.0,,19.11,,GAIA,1,,MJD,
57347.082,G,,,0.0,,19.10,,GAIA,1,,MJD,
57347.156,G,,,0.0,,19.05,,GAIA,1,,MJD,
57378.640,G,,,0.0,,19.07,,GAIA,1,,MJD,
57413.534,G,,,0.0,,19.04,,GAIA,1,,MJD,
57433.281,G,,,0.0,,19.07,,GAIA,1,,MJD,
57433.355,G,,,0.0,,19.04,,GAIA,1,,MJD,
57473.976,G,,,0.0,,19.05,,GAIA,1,,MJD,
57489.729,G,,,0.0,,19.03,,GAIA,1,,MJD,
57489.803,G,,,0.0,,19.05,,GAIA,1,,MJD,
57530.433,G,,,0.0,,19.06,,GAIA,1,,MJD,
58131.288,G,,,0.0,,18.95,,GAIA,1,,MJD,
58185.671,G,,,0.0,,18.96,,GAIA,1,,MJD,
58227.115,G,,,0.0,,18.95,,GAIA,1,,MJD,
58284.155,G,,,0.0,,18.96,,GAIA,1,,MJD,
58314.322,G,,,0.0,,18.94,,GAIA,1,,MJD,
58314.396,G,,,0.0,,19.00,,GAIA,1,,MJD,
58388.301,G,,,0.0,,18.92,,GAIA,1,,MJD,
58388.375,G,,,0.0,,18.90,,GAIA,1,,MJD,
58414.054,G,,,0.0,,18.94,,GAIA,1,,MJD,
58414.128,G,,,0.0,,18.84,,GAIA,1,,MJD,
58414.304,G,,,0.0,,18.84,,GAIA,1,,MJD,
58451.535,G,,,0.0,,18.93,,GAIA,1,,MJD,
58451.610,G,,,0.0,,18.89,,GAIA,1,,MJD,
58483.515,G,,,0.0,,18.90,,GAIA,1,,MJD,
58507.508,G,,,0.0,,18.96,,GAIA,1,,MJD,
58546.283,G,,,0.0,,18.89,,GAIA,1,,MJD,
58561.961,G,,,0.0,,18.86,,GAIA,1,,MJD,
58562.035,G,,,0.0,,18.84,,GAIA,1,,MJD,
58603.481,G,,,0.0,,18.84,,GAIA,1,,MJD,
58623.907,G,,,0.0,,18.81,,GAIA,1,,MJD,
58623.981,G,,,0.0,,18.81,,GAIA,1,,MJD,
58661.202,G,,,0.0,,18.79,,GAIA,1,,MJD,
58692.280,G,,,0.0,,18.74,,GAIA,1,,MJD,
58725.0819907,G,,,,,21.5,,Gaia,2,,MJD,True
58733.0569907,G,,,0.2,,18.69,,Gaia,2,,MJD,
58733.058,G,,,0.0,,18.67,,GAIA,1,,MJD,
58733.132,G,,,0.0,,18.69,,GAIA,1,,MJD,
58749.327,G,,,0.0,,18.67,,GAIA,1,,MJD,
58790.435,G,,,0.0,,18.65,,GAIA,1,,MJD,
58790.509,G,,,0.0,,18.68,,GAIA,1,,MJD,
58810.211,G,,,0.0,,18.68,,GAIA,1,,MJD,
