time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58733.9439931,G,,,,,21.5,,Gaia,3,,MJD,True
58747.2589931,G,,,0.2,,18.1,,Gaia,3,,MJD,
58747.260,G,,,0.0,,18.09,,GAIA,1,,MJD,
58747.334,G,,,0.0,,18.11,,GAIA,1,,MJD,
58752.0421,B,,,0.15016,,18.7857,,,"2,4",,MJD,
58752.0467,V,,,0.0999073,,18.31,,,"2,4",,MJD,
58752.0512,R,,,0.0662042,,17.7729,,,"2,4",,MJD,
58769.0945,B,,,,,18.6348,,,"2,4",,MJD,
58769.1149,V,,,,,19.1381,,,"2,4",,MJD,
58769.1203,R,,,,,19.3674,,,"2,4",,MJD,
58776.1404,B,,,,,19.2182,,,"2,4",,MJD,
58776.145,V,,,,,19.3859,,,"2,4",,MJD,
58776.1496,R,,,,,19.309,,,"2,4",,MJD,
