time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56893.578,G,,,0.0,,18.07,,GAIA,1,,MJD,
56972.871,G,,,0.0,,17.92,,GAIA,1,,MJD,
56972.945,G,,,0.0,,18.04,,GAIA,1,,MJD,
56985.199,G,,,0.0,,17.90,,GAIA,1,,MJD,
56985.375,G,,,0.0,,17.91,,GAIA,1,,MJD,
57023.653,G,,,0.0,,17.87,,GAIA,1,,MJD,
57051.815,G,,,0.0,,18.25,,GAIA,1,,MJD,
57051.889,G,,,0.0,,18.20,,GAIA,1,,MJD,
57078.883,G,,,0.0,,17.94,,GAIA,1,,MJD,
57131.620,G,,,0.0,,16.31,,GAIA,1,,MJD,
57132.047,G,,,0.0,,16.28,,GAIA,1,,MJD,
57132.121,G,,,0.0,,16.28,,GAIA,1,,MJD,
57132.297,G,,,0.0,,16.25,,GAIA,1,,MJD,
57147.379,G,,,0.0,,18.08,,GAIA,1,,MJD,
57193.866,G,,,0.0,,17.95,,GAIA,1,,MJD,
57294.724,G,,,0.0,,18.70,,GAIA,1,,MJD,
57294.798,G,,,0.0,,18.54,,GAIA,1,,MJD,
57347.911,G,,,0.0,,18.21,,GAIA,1,,MJD,
57347.985,G,,,0.0,,18.18,,GAIA,1,,MJD,
57399.625,G,,,0.0,,18.01,,GAIA,1,,MJD,
57431.431,G,,,0.0,,18.55,,GAIA,1,,MJD,
57431.607,G,,,0.0,,18.45,,GAIA,1,,MJD,
57455.608,G,,,0.0,,18.42,,GAIA,1,,MJD,
57510.347,G,,,0.0,,18.25,,GAIA,1,,MJD,
57510.421,G,,,0.0,,18.44,,GAIA,1,,MJD,
57510.597,G,,,0.0,,18.35,,GAIA,1,,MJD,
57510.671,G,,,0.0,,18.47,,GAIA,1,,MJD,
57530.605,G,,,0.0,,18.49,,GAIA,1,,MJD,
57530.679,G,,,0.0,,18.59,,GAIA,1,,MJD,
57626.894,G,,,0.0,,18.56,,GAIA,1,,MJD,
57627.070,G,,,0.0,,18.70,,GAIA,1,,MJD,
57672.012,G,,,0.0,,18.67,,GAIA,1,,MJD,
57672.086,G,,,0.0,,18.45,,GAIA,1,,MJD,
57672.262,G,,,0.0,,18.50,,GAIA,1,,MJD,
57672.336,G,,,0.0,,18.32,,GAIA,1,,MJD,
57678.766,G,,,0.0,,18.55,,GAIA,1,,MJD,
57678.840,G,,,0.0,,18.38,,GAIA,1,,MJD,
57679.016,G,,,0.0,,18.53,,GAIA,1,,MJD,
57723.202,G,,,0.0,,18.59,,GAIA,1,,MJD,
57723.276,G,,,0.0,,18.64,,GAIA,1,,MJD,
57741.775,G,,,0.0,,18.59,,GAIA,1,,MJD,
57775.671,G,,,0.0,,18.28,,GAIA,1,,MJD,
57775.745,G,,,0.0,,18.42,,GAIA,1,,MJD,
57812.032,G,,,0.0,,18.46,,GAIA,1,,MJD,
57812.209,G,,,0.0,,18.33,,GAIA,1,,MJD,
57832.714,G,,,0.0,,18.32,,GAIA,1,,MJD,
57832.788,G,,,0.0,,18.49,,GAIA,1,,MJD,
57832.964,G,,,0.0,,18.30,,GAIA,1,,MJD,
57888.028,G,,,0.0,,18.72,,GAIA,1,,MJD,
57888.204,G,,,0.0,,18.81,,GAIA,1,,MJD,
57888.278,G,,,0.0,,18.64,,GAIA,1,,MJD,
57912.284,G,,,0.0,,18.32,,GAIA,1,,MJD,
57912.460,G,,,0.0,,18.13,,GAIA,1,,MJD,
57947.697,G,,,0.0,,18.41,,GAIA,1,,MJD,
57947.771,G,,,0.0,,18.52,,GAIA,1,,MJD,
57985.491,G,,,0.0,,18.02,,GAIA,1,,MJD,
58002.671,G,,,0.0,,18.23,,GAIA,1,,MJD,
58002.745,G,,,0.0,,18.08,,GAIA,1,,MJD,
58048.357,G,,,0.0,,18.57,,GAIA,1,,MJD,
58048.431,G,,,0.0,,18.21,,GAIA,1,,MJD,
58048.607,G,,,0.0,,18.48,,GAIA,1,,MJD,
58048.681,G,,,0.0,,18.25,,GAIA,1,,MJD,
58055.684,G,,,0.0,,18.14,,GAIA,1,,MJD,
58055.861,G,,,0.0,,18.20,,GAIA,1,,MJD,
58055.935,G,,,0.0,,18.04,,GAIA,1,,MJD,
58120.297,G,,,0.0,,18.74,,GAIA,1,,MJD,
58120.371,G,,,0.0,,18.75,,GAIA,1,,MJD,
58152.026,G,,,0.0,,18.46,,GAIA,1,,MJD,
58152.100,G,,,0.0,,18.46,,GAIA,1,,MJD,
58194.006,G,,,0.0,,18.87,,GAIA,1,,MJD,
58194.080,G,,,0.0,,18.90,,GAIA,1,,MJD,
58194.256,G,,,0.0,,18.85,,GAIA,1,,MJD,
58194.330,G,,,0.0,,18.73,,GAIA,1,,MJD,
58210.587,G,,,0.0,,18.90,,GAIA,1,,MJD,
58210.838,G,,,0.0,,18.93,,GAIA,1,,MJD,
58211.088,G,,,0.0,,18.95,,GAIA,1,,MJD,
58265.754,G,,,0.0,,18.62,,GAIA,1,,MJD,
58293.078,G,,,0.0,,18.57,,GAIA,1,,MJD,
58324.495,G,,,0.0,,17.90,,GAIA,1,,MJD,
58364.207,G,,,0.0,,17.98,,GAIA,1,,MJD,
58364.281,G,,,0.0,,18.24,,GAIA,1,,MJD,
58378.212,G,,,0.0,,18.15,,GAIA,1,,MJD,
58378.286,G,,,0.0,,18.27,,GAIA,1,,MJD,
